compound_id,common_name,iupac_name,cas_number,pubchem_cid,chembl_id,chemspider_id,chemical_formula,molecular_weight,g/mol,boiling_point_c,melting_point_c,density_g_ml,odor_description,flavor_family,primary_biosynthetic_pathway,producing_gene_ids,plant_source_common,typical_tissue,ref_pubmed_primary,ref_pubmed_secondary,ref_doi,notes
A-CMP-001,limonene,(4R)-1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,138-86-3,22311,CHEMBL17249,CSID:138-86-3,C10H16,136.23,176,na,0.841,bright citrus,citrus,"mevalonate pathway; limonene synthase",A-GEN-TPS-LIM1; A-GEN-TPS-LIM2,Citrus spp. peel,albedo/essential oil,PMID:10472364,PMID:15645858,10.1021/np9905146,Cyclic monoterpene; major citrus oil component
A-CMP-002,linalool,3,7-dimethyl-1,6-octadien-3-ol,78-70-6,20963,CSID:78-70-6,C10H18O,154.25,198,na,0.858,floral lavender,floral,"mevalonate pathway; linalool synthase",A-GEN-TPS-LIN1; A-GEN-TPS-LIN2,Lavandula angustifolia;Citrus,flower/oil,PMID:12165183,PMID:19231123,10.1021/np9905146,Acyclic monoterpenoid; floral notes
A-CMP-003,citral (geranial+neral),3,7-dimethyl-2,6-octadienal,141-29-6 (geranial),106-26-1 (neral),254,CSID:141-29-6,C10H16O,152.23,229,na,0.889,strong lemon,citrus,"mevalonate pathway; geranial synthase",A-GEN-TPS-GER1; A-GEN-TPS-NER1,Cymbopogon winterianus;Citrus,leaf/oil,PMID:15660358,PMID:18080524,10.1021/jf062073x,Major component of lemongrass oil; two isomers geranial (trans) and neral (cis)
A-CMP-004,alpha-pinene,(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene,80-56-8,6654,CSID:80-56-8,C10H16,136.23,156,na,0.859,sharp pine turpentine,woody,"mevalonate pathway; pinene synthase",A-GEN-TPS-PIN1; A-GEN-TPS-PIN2,Pinus spp.;Rosmarinus,needle/oil,PMID:10782301,PMID:15849618,10.1021/np9905146,Bicyclic monoterpene; major conifer oleoresin component
A-CMP-005,beta-myrcene,7-methyl-3-methylene-1,6-octadiene,123-35-3,8893,CSID:123-35-3,C10H16,136.23,167,na,0.801,herbaceous balsamic,herbal,"mevalonate pathway; myrcene synthase",A-GEN-TPS-MYR1; A-GEN-TPS-MYR2,Humulus lupulus;Myrtaceae,cone/fruit,PMID:11145135,PMID:16819839,10.1021/jf062073x,Acyclic monoterpene; key hop oil component
A-CMP-006,geraniol,3,7-dimethyl-2,6-octadien-1-ol,106-24-1,174,CSID:106-24-1,C10H18O,154.25,230,na,0.869,roses sweet floral,floral,"mevalonate pathway; geraniol synthase",A-GEN-TPS-GER2; A-GEN-TPS-GER3,Rosa spp.;Cymbopogon,petal/oil,PMID:12855420,PMID:15660358,10.1021/np9905146,Monoterpenoid alcohol; primary rose scent component
A-CMP-007,eugenol,4-allyl-2-methoxyphenol,97-53-0,3314,CSID:97-53-0,C10H12O2,164.20,254,na,1.067,spicy warm clove,pungent,phenylpropanoid; coumarate pathway,A-GEN-TPS-EUG1; A-GEN-TPS-EUG2,Syzygium aromaticum;Ocimum,flower bud/oil,PMID:12781682,PMID:15660358,10.1021/jf062073x,Phenylpropanoid; major clove oil component
A-CMP-008,1,8-cineole (eucalyptol),1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane,470-82-6,2798,CSID:470-82-6,C10H18O,154.25,176,na,0.924,sharp camphor eucalyptus,herbal,"mevalonate pathway; cineole synthase",A-GEN-TPS-CIN1; A-GEN-TPS-CIN2,Eucalyptus globulus;Rosmarinus,leaf/oil,PMID:10924511,PMID:15849618,10.1021/np9905146,Cyclic ether monoterpene; major eucalyptus oil
A-CMP-009,beta-caryophyllene,(1R,4E,9S)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]dodec-4-ene,87-44-5,29050,CSID:87-44-5,C15H24,204.35,256,na,0.907,woody spicy clove,woody,"mevalonate pathway; sesquiterpene synthase",A-GEN-TPS-CARY1; A-GEN-TPS-CARY2,clove;Piper nigrum,flower bud/oleoresin,PMID:15834877,PMID:18927321,10.1016/j.phytochem.2008.09.006,Sesquiterpene;辣椒素 receptor TRPV1 agonist
A-CMP-010,alpha-bisabolol,6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol,515-69-5,8542,CSID:515-69-5,C15H26O,222.37,na,na,0.93,sweet woody warm,floral,"mevalonate pathway; bisabolol synthase",A-GEN-TPS-BIS1; A-GEN-TPS-BIS2,Matricaria chamomilla;Vanilla,flower/oil,PMID:12552384,PMID:16819839,10.1021/jf062073x,Sesquiterpenoid alcohol; anti-inflammatory properties
A-CMP-011,alpha-humulene,(1E,4E,8E)-2,6,6,9-tetramethyl-1,4,8-cycloundecatriene,6753-98-6,5702,CSID:6753-98-6,C15H24,204.35,na,na,0.890,earthy woody herbal,woody,"mevalonate pathway; humulene synthase",A-GEN-TPS-HUM1; A-GEN-TPS-HUM2,Humulus lupulus; Cannabis,siglehorn/oil,PMID:15196518,PMID:16819839,10.1021/jf062073x,Sesquiterpene; key hop oil component
A-CMP-012,geranyl acetate,3,7-dimethyl-2,6-octadien-1-yl acetate,105-87-3,7726,CSID:105-87-3,C12H20O2,196.29,237,na,0.899,sweet floral fruity rose,floral,"mevalonate pathway; acetyltransferase",A-GEN-TPS-GERA1; A-GEN-TPS-GERA2,Rosa spp.;Citrus,petal/fruit,PMID:12855420,PMID:15660358,10.1021/np9905146,Terpenoid acetate; rose fragrance
A-CMP-013,camphor,1,7,7-trimethylbicyclo[2.2.1]heptan-2-one,76-22-2,2545,CSID:76-22-2,C10H16O,152.23,204,178,1.000,sharp camphor woody,woody,"mevalonate pathway; camphor synthase",A-GEN-TPS-CAM1; A-GEN-TPS-CAM2,Cinnamomum camphora;Rosmarinus,wood/oil,PMID:10924511,PMID:15849618,10.1021/np9905146,Bicyclic ketone; strong aromatic
A-CMP-014,borneol,1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol,507-70-0,6559,CSID:507-70-0,C10H18O,154.25,210,206,1.010,balsamic mint woody,herbal,"mevalonate pathway; borneol synthase",A-GEN-TPS-BOR1; A-GEN-TPS-BOR2,Salvia officinalis;Rosmarinus,leaf/oil,PMID:10924511,PMID:15849618,10.1021/np9905146,Monoterpenoid alcohol; cooling sensation
A-CMP-015,thymol,2-isopropyl-5-methylphenol,89-83-8,8642,CSID:89-83-8,C10H14O,150.22,232,51,0.969,herbaceous phenolic medicinal,herbal,phenylpropanoid pathway,A-GEN-TPS-THY1; A-GEN-TPS-THY2,Thymus vulgaris;Origanum,leaf/oil,PMID:12781682,PMID:15660358,10.1021/jf062073x,Phenylpropanoid; strong antiseptic
