case_id,priority,status,address,house_number,street_name,city,state,zip_code,opened_date,closed_date,department,case_type,description,inspector,date_updated,last_update,violationcasenumber,violationcaselink,parcelid,location,latitude,longitude,repeatoffenderrelated,shorttermrentalrelated,servicerequestnumber,reportedby
2026-058299 CC,2,Pending,1417 BERKSHIRE DRIVE,1417,BERKSHIRE DR,AUSTIN,TX,78723,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Structure Condition Violation(s),Charles Edwards|512-803-5812,2026-05-09T00:00:00.000,,,,0225170715,"(30.31654783, -97.69614366)",30.31654783,-97.69614366,No,,26-00146841,Complainant
2026-058290 CC,4,Pending,3402 GALESBURG DRIVE,3402,GALESBURG DR,AUSTIN,TX,78745,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Property Abatement,Brandon Smith|,2026-05-09T00:00:00.000,,,,0417272202,"(30.2054513, -97.83319031)",30.2054513,-97.83319031,No,,26-00146680,Anonymous
2026-058298 CC,5,Pending,1100 E BRAKER LANE,1100,E BRAKER LN,AUSTIN,TX,78753,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Property Abatement,Mahiri Moody|(512) 939-1295,2026-05-09T00:00:00.000,,,,0247230901,"(30.37555368, -97.67094551)",30.37555368,-97.67094551,No,,26-00146824,Anonymous
2026-058311 CC,2,Pending,8001 W SH 71,8001,W SH 71,AUSTIN,TX,78736,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Structure Condition Violation(s),Dana Brockington|(512) 945-6094,2026-05-09T00:00:00.000,,,,0404400718,"(30.24445633, -97.88548605)",30.24445633,-97.88548605,No,,26-00147190,Complainant
2026-058296 CC,3,Pending,776 E BRAKER LN,,,,,,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Land Use Violation(s),|,2026-05-09T00:00:00.000,,,,,,,,No,,26-00146762,Complainant
2026-058309 CC,5,Pending,4148 STAGGERBRUSH RD,,,,,,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Property Abatement,|(512) 552-8271,2026-05-09T00:00:00.000,,,,,,,,No,,26-00146993,Anonymous
2026-058294 CC,5,Pending,SARA DR and SPUR ST,,,,,,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Property Abatement,|(512) 884-8718,2026-05-09T00:00:00.000,,,,,,,,No,,26-00146713,Complainant
2026-058287 CC,2,Closed,1709 HOLLY STREET,1709,HOLLY ST,AUSTIN,TX,78702,2026-05-09T00:00:00.000,2026-05-09T00:00:00.000,Code Enforcement,Complaints,Land Use Violation(s),Micheal Ezimako|512-939-8190,2026-05-09T00:00:00.000,No Violation(s) Found/Inspection Performed,,,0201061801,"(30.25373716, -97.7276143)",30.25373716,-97.7276143,No,Yes,26-00146649,Anonymous
2026-058291 CC,5,Pending,ROCKING CHAIR RD and TABLE TOP TRL,,,,,,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Property Abatement,|(512) 460-9142,2026-05-09T00:00:00.000,,,,,,,,No,,26-00146702,Complainant
2026-058315 CC,5,Pending,7941 GAULT ST,,,,,,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Land Use Violation(s),|512-964-5585,2026-05-09T00:00:00.000,,,,,,,,No,,26-00147286,Complainant
2026-058303 CC,5,Pending,8800 HAZELHURST DRIVE,8800,HAZELHURST DR,AUSTIN,TX,78729,2026-05-09T00:00:00.000,,Code Enforcement,Complaints,Structure Condition Violation(s),Gabriel Martinez|(512) 949-0966,2026-05-09T00:00:00.000,,,,R391627,"(30.46080684, -97.77009923)",30.46080684,-97.77009923,No,,26-00146874,Anonymous
