assay_id,run_id,strain_id,metabolite_id,measured_value,unit,method,pass_fail,notes
B-ASSAY-GCMS-010,B-RUN-FERM-030,B-STR-YE-017,B-MET-EHEX,28,mg/L,GC-MS,pass,"Initial ester detection at bench scale"
B-ASSAY-GCMS-011,B-RUN-FERM-030,B-STR-YE-017,B-MET-EBUT,18,mg/L,GC-MS,pass,"Good fruity note precursor"
B-ASSAY-GCMS-012,B-RUN-FERM-030,B-STR-YE-017,B-MET-EOCT,11,mg/L,GC-MS,pass,"Orange peel note present"
B-ASSAY-GCMS-013,B-RUN-FERM-031,B-STR-YE-017,B-MET-EHEX,35,mg/L,GC-MS,pass,"Scale-up shows consistent ester production"
B-ASSAY-GCMS-014,B-RUN-FERM-031,B-STR-YE-017,B-MET-EBUT,24,mg/L,GC-MS,pass,"Enhanced fruity ester at 5L scale"
B-ASSAY-GCMS-015,B-RUN-FERM-031,B-STR-YE-017,B-MET-EOCT,14,mg/L,GC-MS,pass,"Maintained orange peel character"
B-ASSAY-GCMS-016,B-RUN-FERM-032,B-STR-YE-018,B-MET-IAA,38,mg/L,GC-MS,pass,"Banana ester detected"
B-ASSAY-GCMS-017,B-RUN-FERM-032,B-STR-YE-018,B-MET-PEARY,22,mg/L,GC-MS,pass,"Pear ester as co-product"
B-ASSAY-GCMS-018,B-RUN-FERM-033,B-STR-YE-017,B-MET-EHEX,42,mg/L,GC-MS,pass,"Above target for bright fruit note"
B-ASSAY-GCMS-019,B-RUN-FERM-033,B-STR-YE-017,B-MET-EBUT,31,mg/L,GC-MS,pass,"Supports citrus-like ester profile"
B-ASSAY-GCMS-020,B-RUN-FERM-033,B-STR-YE-017,B-MET-EOCT,18,mg/L,GC-MS,pass,"Adds orange-peel/waxy note"
B-ASSAY-GCMS-021,B-RUN-FERM-033,B-STR-YE-017,B-MET-DIAC,3,mg/L,GC-MS,pass,"Low diacetyl; clean profile"
B-ASSAY-GCMS-022,B-RUN-FERM-034,B-STR-LA-009,B-MET-LACT,245,mg/L,enzymatic,HPLC,pass,"Good lactic acid titer"
B-ASSAY-GCMS-023,B-RUN-FERM-034,B-STR-LA-009,B-MET-DIAC,2,mg/L,GC-MS,pass,"Minimal off-note diacetyl"
B-ASSAY-GCMS-024,B-RUN-FERM-035,B-STR-YE-019,B-MET-GERA,18,mg/L,GC-MS,pass,"Rose/floral note confirmed"
B-ASSAY-GCMS-025,B-RUN-FERM-035,B-STR-YE-019,B-MET-CITRON,12,mg/L,GC-MS,pass,"Citrus component present"
B-ASSAY-GCMS-026,B-RUN-FERM-036,B-STR-YE-021,B-MET-EHEX,38,mg/L,GC-MS,pass,"Strong ester production"
B-ASSAY-GCMS-027,B-RUN-FERM-036,B-STR-YE-021,B-MET-EBUT,27,mg/L,GC-MS,pass,"Good fruity ester"
B-ASSAY-GCMS-028,B-RUN-FERM-036,B-STR-YE-021,B-MET-EOCT,9,mg/L,GC-MS,pass,"Lower medium-chain ester"
B-ASSAY-GCMS-029,B-RUN-FERM-037,B-STR-YE-020,B-MET-LIMO,55,mg/L,GC-MS,pass,"Citrus limonene confirmed"
B-ASSAY-GCMS-030,B-RUN-FERM-037,B-STR-YE-020,B-MET-GAMMA,28,mg/L,GC-MS,pass,"Lime/herbal note"
B-ASSAY-GCMS-031,B-RUN-FERM-038,B-STR-LA-010,B-MET-CIT,320,mg/L,HPLC,pass,"High citric acid production"
B-ASSAY-GCMS-032,B-RUN-FERM-038,B-STR-LA-010,B-MET-MAL,145,mg/L,HPLC,pass,"Malic acid co-product"
B-ASSAY-GCMS-033,B-RUN-FERM-039,B-STR-YE-022,B-MET-IAA,35,mg/L,GC-MS,pass,"Isoamyl acetate confirmed"
B-ASSAY-GCMS-034,B-RUN-FERM-039,B-STR-YE-022,B-MET-PEARY,19,mg/L,GC-MS,pass,"Pear ester note present"
B-ASSAY-GCMS-035,B-RUN-FERM-040,B-STR-YE-023,B-MET-GERA,14,mg/L,GC-MS,pass,"Secondary floral strain"
B-ASSAY-GCMS-036,B-RUN-FERM-040,B-STR-YE-023,B-MET-CITRON,8,mg/L,GC-MS,pass,"Lower geraniol than primary"
B-ASSAY-GCMS-037,B-RUN-FERM-041,B-STR-YE-021,B-MET-EHEX,36,mg/L,GC-MS,pass,"Duplicate run confirms ester profile"
B-ASSAY-GCMS-038,B-RUN-FERM-041,B-STR-YE-021,B-MET-EBUT,25,mg/L,GC-MS,pass,"Duplicate run confirms fruity ester"
B-ASSAY-GCMS-039,B-RUN-FERM-042,B-STR-LA-009,B-MET-LACT,410,mg/L,enzymatic,HPLC,pass,"Scale-up confirmed high lactic"
B-ASSAY-GCMS-040,B-RUN-FERM-042,B-STR-LA-009,B-MET-DIAC,3,mg/L,GC-MS,pass,"Clean profile maintained at scale"
B-ASSAY-GCMS-041,B-RUN-FERM-043,B-STR-YE-024,B-MET-EBUT,32,mg/L,GC-MS,pass,"Good ester despite different background"
B-ASSAY-GCMS-042,B-RUN-FERM-043,B-STR-YE-024,B-MET-LACT,85,mg/L,enzymatic,HPLC,pass,"Some lactic co-production"
B-ASSAY-GCMS-043,B-RUN-FERM-043,B-STR-YE-024,B-MET-DIAC,4,mg/L,GC-MS,pass,"Low off-notes; good balance"
B-ASSAY-GCMS-044,B-RUN-FERM-045,B-STR-LA-011,B-MET-CIT,280,mg/L,HPLC,pass,"Citrus organic acid profile"
B-ASSAY-GCMS-045,B-RUN-FERM-045,B-STR-LA-011,B-MET-MAL,95,mg/L,HPLC,pass,"Supporting malic acid"
