protocol_id,protocol_name,version,status,supersedes,parameters,parameter_count,applicability,storage_conditions,shelf_life_days,preparation_notes,linked_strain_ids,linked_media_ids,last_review_date,next_review_date,notes
B-PROT-FERM-001,Ester Production Standard,v3,active,B-PROT-FERM-001 v2,"temperature_c: 14, 0.5 | ph_start: 5.2, 0.2 | ph_end: 4.3, 0.3 | duration_hr: 96, 2 | vessel_scale_l: 2-50",5,yeast_ester_strains,2-8C,30,Standard protocol - autoclave 121C 20min,"B-STR-YE-017 B-STR-YE-021",B-MEDIA-EST-04,2026-01-15,2027-01-15,Validated for pilot scale
B-PROT-FERM-002,Banana Ester Screen,v1,active,NA,"temperature_c: 18, 1.0 | ph_start: 5.0, 0.3 | ph_end: 4.3, 0.2 | duration_hr: 72, 1 | vessel_scale_l: 2-5",5,banana_ester_strains,2-8C,21,pH to 5.0 before autoclave,B-STR-YE-018 B-STR-YE-022 B-STR-YE-026,B-MEDIA-BAN-01,2026-02-01,2027-02-01,Initial bench screening
B-PROT-FERM-003,Floral Ester Medium,v1,active,NA,"temperature_c: 18, 0.5 | ph_start: 5.1, 0.2 | ph_end: 4.5, 0.3 | duration_hr: 96, 2 | vessel_scale_l: 2-5",5,floral_ester_strains,2-8C,14,Add CaCl2 after autoclave,B-STR-YE-019 B-STR-YE-023 B-STR-YE-027,B-MEDIA-FLOR-01,2026-03-01,2027-03-01,Geraniol production
B-PROT-FERM-004,Lactic Acid Production,v2,active,B-PROT-FERM-004 v1,"temperature_c: 30, 1.0 | ph_start: 5.8, 0.3 | ph_end: 4.7, 0.4 | duration_hr: 48, 1 | vessel_scale_l: 10-20",5,lactic_acid_strains,2-8C,45,Maintain pH during growth,B-STR-LA-009 B-STR-LA-010,B-MEDIA-LACT-02,2026-01-20,2027-01-20,Scaled for pilot
B-PROT-FERM-005,Organic Acid Medium,v1,active,NA,"temperature_c: 30, 1.0 | ph_start: 5.6, 0.3 | ph_end: 4.5, 0.3 | duration_hr: 72, 1 | vessel_scale_l: 10",5,organic_acid_strains,2-8C,30,For organic acid production,B-STR-LA-010 B-STR-LA-011 B-STR-YE-028,B-MEDIA-ORGANIC-01,2026-02-15,2027-02-15,Citric acid focus
B-PROT-FERM-006,Citrus Terpene Medium,v1,active,NA,"temperature_c: 16, 0.5 | ph_start: 5.0, 0.2 | ph_end: 4.3, 0.2 | duration_hr: 72, 1 | vessel_scale_l: 2",5,citrus_terpene_strains,2-8C,21,Sterile filter geraniol after autoclave,B-STR-YE-020 B-STR-YE-021,B-MEDIA-CIT-01,2026-03-10,2027-03-10,NOTE: renamed from CitrusDrop to Citriflow
B-PROT-FERM-007,Vanilla Flavor Medium,prototype,experimental,NA,"temperature_c: 22, 1.0 | ph_start: 5.5, 0.3 | ph_end: 4.8, 0.4 | duration_hr: 120, 4 | vessel_scale_l: 2",5,vanilla_producer_strains,4C,14,For vanillin precursor production,B-STR-YE-025,B-MEDIA-VANILLA,2026-04-01,2026-10-01,Early stage - FERM-051 contamination failure
B-PROT-FERM-008,Creamy Ester Protocol,v1,active,NA,"temperature_c: 20, 0.5 | ph_start: 5.1, 0.2 | ph_end: 4.4, 0.3 | duration_hr: 96, 2 | vessel_scale_l: 2",5,creamy_ester_strains,2-8C,21,Diacetyl reduction focus,B-STR-YE-024 B-STR-YE-029,B-MEDIA-LACT-03,2026-04-15,2027-04-15,Low off-notes profile
B-PROT-FERM-009,Pear Ester Production,v1,active,NA,"temperature_c: 18, 1.0 | ph_start: 5.0, 0.3 | ph_end: 4.3, 0.2 | duration_hr: 72, 1 | vessel_scale_l: 2-5",5,pear_ester_strains,2-8C,21,Alternative to banana ester,B-STR-YE-026,B-MEDIA-BAN-01,2026-05-01,2027-05-01,Tropical fruit overtones
B-PROT-FERM-010,Large Scale Ester,v2,active,B-PROT-FERM-010 v1,"temperature_c: 14, 0.5 | ph_start: 5.2, 0.2 | ph_end: 4.3, 0.3 | duration_hr: 96, 2 | vessel_scale_l: 50-100",5,pilot_scale_ester,2-8C,30,Prepare 10x stock for pilot,B-STR-YE-017,B-MEDIA-EST-04,2026-05-05,2027-05-05,Large batch for customer demos
B-PROT-FERM-011,Hill Test Protocol,v1,retired,NA,"temperature_c: 25, 2.0 | ph_start: 5.5, 0.5 | ph_end: 4.8, 0.5 | duration_hr: 72, 2 | vessel_scale_l: 2",5,stress_testing,2-8C,14,Heat stress screening,B-STR-YE-030,B-MEDIA-EST-04,2025-06-01,2026-06-01,Retired - use dedicated heat strain protocol
B-PROT-FERM-012,New Floral Media v2,v1,experimental,NA,"temperature_c: 20, 0.5 | ph_start: 5.3, 0.2 | ph_end: 4.6, 0.3 | duration_hr: 96, 2 | vessel_scale_l: 2",5,experimental_floral,2-8C,60,-20C frozen - MnSO4 addition,B-STR-YE-023 B-STR-YE-027,B-MEDIA-FLOR-02,2026-05-10,2026-11-10,Not yet in registry - testing geraniol yield
B-PROT-FERM-013,Seed Development Protocol,v1,active,NA,"temperature_c: 18, 1.0 | ph_start: 5.0, 0.3 | ph_end: 4.5, 0.3 | duration_hr: 96, 2 | vessel_scale_l: 2",5,development_strains,2-8C,21,Early stage screening,B-STR-YE-031 B-STR-YE-032 B-STR-YE-033,B-MEDIA-FLOR-01,2026-05-12,2027-05-12,Cherry ester and citrus max candidates
