case_id,address,case_type,status,opened_date,department
2026-058299 CC,1417 BERKSHIRE DR,Structure Condition Violation,Open,2026-05-09,Code Enforcement
2026-051120 CC,3402 GOVALLE AVE,Zoning Violation,Open,2026-04-22,Code Enforcement
2026-047733 CC,908 W 29TH ST,Overgrown Vegetation,Closed,2026-04-02,Code Enforcement
2026-060044 CC,7008 MANCHACA RD,Unpermitted Construction,Open,2026-05-12,Code Enforcement
2026-039981 CC,2210 RIO GRANDE ST,Junked Vehicle,Closed,2026-03-08,Code Enforcement
2026-058870 CC,5905 BULL CREEK RD,Drainage Violation,Open,2026-05-10,Watershed Protection
2026-055412 CC,1601 E CESAR CHAVEZ ST,Illegal Dumping,Closed,2026-04-28,Code Enforcement
2026-061205 CC,2300 E 6TH ST,Short-Term Rental Violation,Open,2026-05-14,Code Enforcement
2026-044190 CC,4400 AVENUE G,Substandard Structure,Closed,2026-03-20,Code Enforcement
2026-059333 CC,6403 ARNOLD DR,Pool Barrier Violation,Open,2026-05-09,Code Enforcement
2026-052077 CC,2810 SALADO ST,Sign Violation,Closed,2026-04-25,Code Enforcement
2026-060788 CC,1417 BERKSHIRE DR,Work Without Permit,Open,2026-05-13,Code Enforcement
