strain_id,name,organism,parent_strain_ids,target_profile_ids,pathway_gene_ids,status,development_stage,notes
B-STR-YE-017,Yeast EsterMax 17,Saccharomyces cerevisiae,B-STR-YE-BASE-03,B-PROF-EST-01,B-GEN-AAT1;B-GEN-EHT1,active,pilot_ready,"Best candidate for fruit-forward ester profile at low temperature"
B-STR-YE-021,Yeast Citriflow 21,Saccharomyces cerevisiae,B-STR-YE-BASE-05,B-PROF-EST-01,B-GEN-AAT1,active,bench_validated,"Strong ester output but scale-up run incomplete"
B-STR-LA-009,LactoCream 09,Lactobacillus plantarum,B-STR-LA-BASE-02,B-PROF-LACTIC-02,B-GEN-LDH2,active,pilot_ready,"Good lactic profile, not ester-forward"
B-STR-YE-018,Yeast BananaFlow 18,Saccharomyces cerevisiae,B-STR-YE-BASE-07,B-PROF-BANANA-04,B-GEN-ATF1,active,bench_validated,"Produces isoamyl acetate but overall profile incomplete"
B-STR-YE-019,Yeast RoseMax 19,Saccharomyces cerevisiae,B-STR-YE-BASE-09,B-PROF-FLORAL-05,B-GEN-GER1,active,bench_validated,"Geraniol producer but pilot run needed"
B-STR-YE-020,Yeast CitrusDrop 20,Saccharomyces cerevisiae,B-STR-YE-BASE-11,B-PROF-CITRUS-06,B-GEN-LIM1,active,greenhouse_validated,"Limonene pathway confirmed but scale-up pending"
B-STR-LA-010,LactoAcid 10,Lactobacillus plantarum,B-STR-LA-BASE-04,B-PROF-ORGANIC-03,B-GEN-CIT1,active,pilot_ready,"High organic acid producer for food ingredients"
B-STR-YE-022,Yeast IsoAmyl 22,Saccharomyces cerevisiae,B-STR-YE-BASE-13,B-PROF-BANANA-04,B-GEN-ATF1,active,greenhouse_validated,"Alternate ATF1 strain; needs pilot confirmation"
B-STR-YE-023,Yeast FloralBlend 23,Saccharomyces cerevisiae,B-STR-YE-BASE-15,B-PROF-FLORAL-05,B-GEN-GER1,active,greenhouse_validated,"Secondary floral strain; limited scale data"
B-STR-YE-024,Yeast CreamEst 24,Saccharomyces cerevisiae,B-STR-YE-BASE-17,B-PROF-LACTIC-02,B-GEN-ALDC;B-GEN-LDH2,active,bench_validated,"Diacetyl reduction pathway present; low off-notes"
B-STR-LA-011,LactoCitrus 11,Lactobacillus plantarum,B-STR-LA-BASE-06,B-PROF-CITRUS-06,B-GEN-CIT1,active,greenhouse_validated,"Organic acid producer with citrus potential"
B-STR-YE-025,Yeast VanillaEst 25,Saccharomyces cerevisiae,B-STR-YE-BASE-19,B-PROF-EST-01,B-GEN-EVH1,active,greenhouse_validated,"Ethyl vanillin producer; early stage vanilla notes"
B-STR-YE-026,Yeast PearDrop 26,Saccharomyces cerevisiae,B-STR-YE-BASE-21,B-PROF-BANANA-04,B-GEN-ATF1,active,greenhouse_validated,"Pear ester producer; partial tropical profile"
B-STR-YE-027,Yeast Farnesol 27,Saccharomyces cerevisiae,B-STR-YE-BASE-23,B-PROF-FLORAL-05,B-GEN-FAR1,active,greenhouse_validated,"Sesquiterpene producer; specialty applications"
B-STR-LA-012,LactoFloral 12,Lactobacillus plantarum,B-STR-LA-BASE-08,B-PROF-FLORAL-05,B-GEN-CIT1,active,greenhouse_validated,"Secondary lactobacillus for floral profile"
B-STR-YE-028,Yeast AcidMax 28,Saccharomyces cerevisiae,B-STR-YE-BASE-25,B-PROF-ORGANIC-03,B-GEN-ALDH,active,pilot_ready,"High acetate production; not ester-forward"
B-STR-YE-029,Yeast Balanced 29,Saccharomyces cerevisiae,B-STR-YE-BASE-27,B-PROF-LACTIC-02,B-GEN-AAT1;B-GEN-LDH2,active,bench_validated,"Mixed ester-lactic profile; needs optimization"
B-STR-YE-030,Yeast HighHeat 30,Saccharomyces cerevisiae,B-STR-YE-BASE-29,other,B-GEN-FAS1,active,greenhouse_validated,"Heat tolerant strain; not profiled for flavor"
