Event_Date,Event_Code,Cultivar_ID,Block_ID,Plot,Action,Area_m2,Seeds_Planted,Seed_Lot,Technician,Notes,Verified
2025-09-12,PLANT-2025-FALL-001,A-CUL-TOM-014,A-FLD-BLOCK-3,1,planted,45,108,LOT-TOM-014-2025B,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-001,A-CUL-TOM-014,A-FLD-BLOCK-3,4,planted,45,108,LOT-TOM-014-2025B,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-001,A-CUL-TOM-014,A-FLD-BLOCK-3,7,planted,45,108,LOT-TOM-014-2025B,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-002,A-CUL-TOM-022,A-FLD-BLOCK-3,2,planted,45,108,LOT-TOM-022-2025A,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-002,A-CUL-TOM-022,A-FLD-BLOCK-3,5,planted,45,108,LOT-TOM-022-2025A,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-002,A-CUL-TOM-022,A-FLD-BLOCK-3,8,planted,45,108,LOT-TOM-022-2025A,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-003,A-CUL-TOM-031,A-FLD-BLOCK-3,3,planted,45,108,LOT-TOM-031-2025A,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-003,A-CUL-TOM-031,A-FLD-BLOCK-3,6,planted,45,108,LOT-TOM-031-2025A,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-003,A-CUL-TOM-031,A-FLD-BLOCK-3,9,planted,45,108,LOT-TOM-031-2025A,CMendez,RCBD design 3 reps,yes
2025-09-12,PLANT-2025-FALL-004,A-CUL-TOM-015,A-FLD-BLOCK-2,10,planted,45,108,LOT-TOM-015-2025A,CMendez,Early flowering trial,yes
2025-09-12,PLANT-2025-FALL-005,A-CUL-TOM-017,A-FLD-BLOCK-4,11,planted,45,108,LOT-TOM-017-2025B,CMendez,Blight resistance trial,yes
2025-09-12,PLANT-2025-FALL-006,A-CUL-TOM-019,A-FLD-BLOCK-5,12,planted,45,108,LOT-TOM-019-2025A,CMendez,Lycopene evaluation,yes
2025-09-12,PLANT-2025-FALL-007,A-CUL-TOM-020,A-FLD-BLOCK-6,13,planted,45,108,LOT-TOM-020-2025A,CMendez,Nematode trial,yes
2025-09-12,PLANT-2025-FALL-008,A-CUL-TOM-021,A-FLD-BLOCK-1,14,planted,45,108,LOT-TOM-021-2025A,CMendez,Fusarium trial,yes
2025-09-12,PLANT-2025-FALL-009,A-CUL-TOM-023,A-FLD-BLOCK-3,15,planted,45,108,LOT-TOM-023-2025A,CMendez,Dual drought marker,yes
2025-09-12,PLANT-2025-FALL-010,A-CUL-TOM-026,A-FLD-BLOCK-2,16,planted,45,108,LOT-TOM-026-2025A,CMendez,Verticillium trial,yes
2025-12-01,HARV-2025-FALL-001,A-CUL-TOM-014,A-FLD-BLOCK-3,1,harvested,45,na,LOT-TOM-014-2025B,CMendez,Yield 43.2kg market,yes
2025-12-01,HARV-2025-FALL-001,A-CUL-TOM-014,A-FLD-BLOCK-3,2,harvested,45,na,LOT-TOM-014-2025B,CMendez,Yield 41.8kg market,yes
2025-12-01,HARV-2025-FALL-001,A-CUL-TOM-014,A-FLD-BLOCK-3,3,harvested,45,na,LOT-TOM-014-2025B,CMendez,Yield 42.8kg market,yes
2025-12-01,HARV-2025-FALL-002,A-CUL-TOM-022,A-FLD-BLOCK-3,4,harvested,45,na,LOT-TOM-022-2025A,CMendez,Yield 38.2kg - lower,yes
2025-12-01,HARV-2025-FALL-002,A-CUL-TOM-022,A-FLD-BLOCK-3,5,harvested,45,na,LOT-TOM-022-2025A,CMendez,Yield 41.5kg,yes
2025-12-01,HARV-2025-FALL-002,A-CUL-TOM-022,A-FLD-BLOCK-3,6,harvested,45,na,LOT-TOM-022-2025A,CMendez,Yield 39.6kg,yes
2025-12-01,HARV-2025-FALL-003,A-CUL-TOM-031,A-FLD-BLOCK-3,7,harvested,45,na,LOT-TOM-031-2025A,CMendez,Yield 44.1kg,yes
2025-12-01,HARV-2025-FALL-003,A-CUL-TOM-031,A-FLD-BLOCK-3,8,harvested,45,na,LOT-TOM-031-2025A,CMendez,Yield 42.3kg,yes
2025-12-01,HARV-2025-FALL-003,A-CUL-TOM-031,A-FLD-BLOCK-3,9,harvested,45,na,LOT-TOM-031-2025A,CMendez,Yield 43.0kg,yes
