Observation Date,Time,Cultivar ID,Rep,Plot Position,Wilting Score,Leaf Temp C,Relative Humidity %,Photosynthetic Rate,Transpiration Rate,Notes,Technician,QA
2026-01-13,08:00,A-CUL-TOM-014,R1,A1,0.0,22.1,65,12.3,2.1,baseline before drydown,C.Mendez,
2026-01-13,14:00,A-CUL-TOM-014,R1,A1,0.0,28.4,52,14.1,3.2,afternoon reading,C.Mendez,
2026-01-13,08:00,A-CUL-TOM-014,R2,A2,0.0,22.0,64,12.1,2.0,baseline before drydown,C.Mendez,
2026-01-13,14:00,A-CUL-TOM-014,R2,A2,0.0,28.6,51,13.8,3.0,afternoon reading,C.Mendez,
2026-01-13,08:00,A-CUL-TOM-014,R3,A3,0.0,22.2,65,11.9,2.2,baseline,C.Mendez,
2026-01-13,14:00,A-CUL-TOM-014,R3,A3,0.0,28.2,53,13.5,2.9,afternoon reading,C.Mendez,
2026-01-14,08:00,A-CUL-TOM-014,R1,A1,0.0,21.8,67,12.0,1.9,Day 1 post-water hold,C.Mendez,
2026-01-14,14:00,A-CUL-TOM-014,R1,A1,0.0,27.9,54,13.2,2.8,Day 1 afternoon,C.Mendez,
2026-01-14,08:00,A-CUL-TOM-014,R2,A2,0.0,21.9,66,11.8,1.8,Day 1,C.Mendez,
2026-01-14,14:00,A-CUL-TOM-014,R2,A2,0.0,28.1,53,13.0,2.7,Day 1,C.Mendez,
2026-01-14,08:00,A-CUL-TOM-014,R3,A3,0.0,22.1,65,11.7,1.9,Day 1,C.Mendez,
2026-01-14,14:00,A-CUL-TOM-014,R3,A3,0.0,28.3,52,12.9,2.6,Day 1,C.Mendez,
2026-01-15,08:00,A-CUL-TOM-014,R1,A1,0.5,21.6,68,10.8,1.5,slight droop observed,C.Mendez,
2026-01-15,14:00,A-CUL-TOM-014,R1,A1,1.2,29.8,48,11.2,2.1,midday wilting,C.Mendez,
2026-01-15,08:00,A-CUL-TOM-014,R2,A2,0.5,21.7,67,10.5,1.4,slight droop,C.Mendez,
2026-01-15,14:00,A-CUL-TOM-014,R2,A2,1.4,30.1,47,10.9,2.0,first leaf curl observed,C.Mendez,YES
2026-01-15,08:00,A-CUL-TOM-014,R3,A3,0.5,21.5,68,10.6,1.5,slight droop,C.Mendez,
2026-01-15,14:00,A-CUL-TOM-014,R3,A3,1.1,29.5,49,11.0,1.9,midday wilting,C.Mendez,
2026-01-16,08:00,A-CUL-TOM-014,R1,A1,1.0,21.4,69,9.8,1.2,morning recovery poor,C.Mendez,
2026-01-16,14:00,A-CUL-TOM-014,R1,A1,1.8,31.2,45,10.1,1.6,severe midday wilting,C.Mendez,
2026-01-16,08:00,A-CUL-TOM-014,R2,A2,1.0,21.5,68,9.5,1.1,morning,C.Mendez,
2026-01-16,14:00,A-CUL-TOM-014,R2,A2,1.6,30.8,46,9.8,1.5,leaf curl observed,C.Mendez,
2026-01-16,08:00,A-CUL-TOM-014,R3,A3,1.0,21.3,69,9.6,1.2,morning,C.Mendez,
2026-01-16,14:00,A-CUL-TOM-014,R3,A3,1.5,30.5,47,9.9,1.4,midday,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-014,R1,A1,1.5,21.2,70,9.2,1.0,SCORE DAY morning,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-014,R1,A1,1.5,31.5,44,9.5,1.3,SCORE DAY afternoon,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-014,R2,A2,1.4,21.3,69,9.0,0.9,SCORE DAY,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-014,R2,A2,1.4,31.0,45,9.3,1.2,SCORE DAY,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-014,R3,A3,1.6,21.1,70,8.8,0.8,SCORE DAY,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-014,R3,A3,1.6,31.8,44,9.1,1.1,SCORE DAY,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-022,R1,B1,0.0,22.3,64,12.5,2.3,baseline,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-022,R1,B1,0.0,28.9,51,14.2,3.1,baseline,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-022,R2,B2,0.0,22.2,65,12.3,2.2,baseline,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-022,R2,B2,0.0,28.7,52,14.0,3.0,baseline,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-022,R3,B3,0.0,22.4,64,12.0,2.1,baseline,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-022,R3,B3,0.0,29.1,51,13.8,2.9,baseline,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-031,R1,C1,0.0,21.8,66,11.5,2.0,baseline,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-031,R1,C1,0.0,29.5,50,12.8,2.8,baseline,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-031,R2,C2,0.0,21.9,65,11.3,1.9,baseline,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-031,R2,C2,0.0,29.3,51,12.6,2.7,baseline,C.Mendez,
2026-01-17,08:00,A-CUL-TOM-031,R3,C3,0.0,22.0,65,11.1,1.8,baseline,C.Mendez,
2026-01-17,14:00,A-CUL-TOM-031,R3,C3,0.0,29.7,50,12.4,2.6,baseline,C.Mendez,
2026-01-17,10:00,RE-WATER,,,all reps,,,re-watering performed,,C.Mendez,
