compound_id,name,pubchem_cid,chembl_id,iupac_name,canonical_smiles,inchi_key,odor_description,flavor_family,plant_source_common,external_ref_source,external_ref_id,notes
A-CMP-001,limonene,22311,CHEMBL17249,1-methyl-4-prop-1-en-2-ylcyclohexene,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,bright citrus,citrus,Citrus spp. peel,pubchem,22311,Major cyclic monoterpene in citrus oils
A-CMP-002,linalool,20963,CHEMBL40289,3,7-dimethyl-1,6-octadien-3-ol,CC(C)=CCC=C(C)O,RLSSJRSSFOSIFM-UHFFFAOYSA-N,floral lavender,floral,Lavandula;Citrus,pubchem,20963,Acyclic monoterpenoid with floral notes
A-CMP-003,citral (geranial+neral),254,CHEMBL44870,3,7-dimethyl-2,6-octadienal,CC(C)=CCC=C(C)C=O,HDLBRFLHYYEOJT-UHFFFAOYSA-N,strong lemon,citrus,Lemongrass;Citrus,pubchem,254,Mixture of geranial and neral isomers
A-CMP-004,alpha-pinene,6654,CHEMBL15990,(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene,CC1CCC2CCC1C2(C)C,JSDQZVPWQHOJQT-UHFFFAOYSA-N,sharp pine turpentine,woody,Pinus spp.;Rosmarinus,pubchem,6654,Bicyclic monoterpene - major conifer component
A-CMP-005,beta-myrcene,8893,CHEMBL15274,7-methyl-3-methylene-1,6-octadiene,CC(=C)CCC=C(C)C,CAHKOCPCXQCPOQ-UHFFFAOYSA-N,herbaceous balsamic,herbal,Humulus lupulus;Myrtaceae,pubchem,8893,Key hop oil component
A-CMP-006,geraniol,174,CHEMBL6216,3,7-dimethyl-2,6-octadien-1-ol,CC(C)=CCC=C(C)CO,WNMFDRWHDUKFPB-UHFFFAOYSA-N,roses sweet floral,floral,Rosa spp.;Cymbopogon,pubchem,174,Primary rose scent - monoterpenoid alcohol
A-CMP-007,eugenol,3314,CHEMBL82192,4-allyl-2-methoxyphenol,C=CCc1c(OC)cccc1OC,RYYVCKMBQGFZQE-UHFFFAOYSA-N,spicy warm clove,pungent,Syzygium aromaticum;Ocimum,pubchem,3314,Phenylpropanoid - major clove oil component
A-CMP-008,1,8-cineole,2798,CHEMBL31295,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",CC1(C)CCC2CC1OC(C)(C)CC2,AEHINUISTADQMNK-UHFFFAOYSA-N,sharp camphor eucalyptus,herbal,Eucalyptus globulus;Rosmarinus,pubchem,2798,Cyclic ether monoterpene - major eucalyptus oil
A-CMP-009,beta-caryophyllene,29050,CHEMBL493897,"(1R,4E,9S)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]dodec-4-ene",CC1CCC2C(C1)CCC2=C(C)C,NFNFBOHSHWCPIQ-UHFFFAOYSA-N,woody spicy clove,woody,clove;Piper nigrum,pubchem,29050,Sesquiterpene - TRPV1 agonist
A-CMP-010,alpha-bisabolol,8542,CHEMBL465295,6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol,CC(C=CC(C)C1CCC(C=C1)C)O,OBABFXKFXEJQNC-UHFFFAOYSA-N,sweet woody warm,floral,Matricaria chamomilla;Vanilla,pubchem,8542,Sesquiterpenoid alcohol - anti-inflammatory
A-CMP-011,alpha-humulene,5702,CHEMBL261196,(1E,4E,8E)-2,6,6,9-tetramethyl-1,4,8-cycloundecatriene,CC1CCC=CC1CCC=C(C)C,NEONNRHRHQFABOX-UHFFFAOYSA-N,earthy woody herbal,woody,Humulus lupulus; Cannabis,pubchem,5702,Key hop oil sesquiterpene component
A-CMP-012,geranyl acetate,7726,CHEMBL441728,3,7-dimethyl-2,6-octadien-1-yl acetate,CC(C)=CCC=C(C)COC(=O)C,XLBZSFEKREJIXT-UHFFFAOYSA-N,sweet floral fruity rose,floral,Rosa spp.;Citrus,pubchem,7726,Terpenoid acetate - rose fragrance
A-CMP-013,camphor,2545,CHEMBL44530,1,7,7-trimethylbicyclo[2.2.1]heptan-2-one,CC1(C)C2CCC1C(=O)C2(C)C,DSSAQTZUNONQAL-UHFFFAOYSA-N,sharp camphor woody,woody,Cinnamomum;Rosmarinus,pubchem,2545,Bicyclic ketone - strong aromatic
A-CMP-014,borneol,6559,CHEMBL507930,1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol,CC1(C)C2CCC1C(O)C2(C)C,OTOLHHYAZFWRLH-UHFFFAOYSA-N,balsamic mint woody,herbal,Salvia;Rosmarinus,pubchem,6559,Monoterpenoid alcohol - cooling sensation
A-CMP-015,thymol,8642,CHEMBL278545,2-isopropyl-5-methylphenol,Cc1ccc(C(C)C)cc1O,MIAXDJHRLOCELE-UHFFFAOYSA-N,herbaceous phenolic medicinal,herbal,Thymus;Origanum,pubchem,8642,Phenylpropanoid - strong antiseptic
