compound_id,common_name,iupac_name,cas_number,pubchem_cid,chembl_id,chemspider_id,chemical_formula,molecular_weight,g_ml,density_g,boiling_point_c,odor_description,primary_biosynthetic_pathway,producing_gene_ids,plant_source_common,typical_tissue,ref_pubmed_primary,notes
A-CMP-001,limonene,(4R)-1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,138-86-3,22311,CHEMBL17249,CSID:138-86-3,C10H16,136.23,0.841,,176,bright citrus,mevalonate pathway,A-GEN-TPS-LIM1; A-GEN-TPS-LIM2,Citrus spp.,peel,PMID:10472364,Major component
A-CMP-002,linalool,3,7-dimethyl-1,6-octadien-3-ol,78-70-6,20963,CSID:78-70-6,C10H18O,154.25,0.858,,198,floral lavender,mevalonate pathway,A-GEN-TPS-LIN1; A-GEN-TPS-LIN2,Lavandula;Citrus,flower,PMID:12165183,
A-CMP-003,citral (geranial+neral),3,7-dimethyl-2,6-octadienal,141-29-6 (geranial),254,CSID:141-29-6,C10H16O,152.23,0.889,,229,strong lemon,mevalonate pathway,A-GEN-TPS-GER1; A-GEN-TPS-NER1,Lemongrass;Citrus,leaf,PMID:15660358,Two isomers
A-CMP-004,alpha-pinene,(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene,80-56-8,6654,CSID:80-56-8,C10H16,136.23,0.859,,156,sharp pine turpentine,mevalonate pathway,A-GEN-TPS-PIN1; A-GEN-TPS-PIN2,Pinus spp.;Rosmarinus,needle,PMID:10782301,
A-CMP-005,beta-myrcene,7-methyl-3-methylene-1,6-octadiene,123-35-3,8893,CSID:123-35-3,C10H16,136.23,0.801,,167,herbaceous balsamic,mevalonate pathway,A-GEN-TPS-MYR1; A-GEN-TPS-MYR2,Humulus lupulus;Myrtaceae,cone,PMID:11145135,
A-CMP-006,geraniol,3,7-dimethyl-2,6-octadien-1-ol,106-24-1,174,CSID:106-24-1,C10H18O,154.25,0.869,,230,roses sweet floral,mevalonate pathway,A-GEN-TPS-GER2; A-GEN-TPS-GER3,Rosa spp.,petal,PMID:12855420,Primary rose scent
A-CMP-007,eugenol,4-allyl-2-methoxyphenol,97-53-0,3314,CSID:97-53-0,C10H12O2,164.20,1.067,,254,spicy warm clove,phenylpropanoid,A-GEN-TPS-EUG1; A-GEN-TPS-EUG2,Syzygium aromaticum;Ocimum,bud,PMID:12781682,
A-CMP-008,1,8-cineole (eucalyptol),1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane,470-82-6,2798,CSID:470-82-6,C10H18O,154.25,0.924,,176,sharp camphor eucalyptus,mevalonate pathway,A-GEN-TPS-CIN1; A-GEN-TPS-CIN2,Eucalyptus;Rosmarinus,leaf,PMID:10924511,
A-CMP-009,beta-caryophyllene,(1R,4E,9S)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]dodec-4-ene,87-44-5,29050,CSID:87-44-5,C15H24,204.35,0.907,,256,woody spicy clove,mevalonate pathway,A-GEN-TPS-CARY1; A-GEN-TPS-CARY2,clove;Piper nigrum,flower,PMID:15834877,
A-CMP-010,alpha-bisabolol,6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol,515-69-5,8542,CSID:515-69-5,C15H26O,222.37,0.93,,na,sweet woody warm,mevalonate pathway,A-GEN-TPS-BIS1; A-GEN-TPS-BIS2,Matricaria chamomilla;Vanilla,flower,PMID:12552384,
A-CMP-011,alpha-humulene,(1E,4E,8E)-2,6,6,9-tetramethyl-1,4,8-cycloundecatriene,6753-98-6,5702,CSID:6753-98-6,C15H24,204.35,0.890,,na,earthy woody herbal,mevalonate pathway,A-GEN-TPS-HUM1; A-GEN-TPS-HUM2,Humulus lupulus; Cannabis,siglehorn,PMID:15196518,
A-CMP-012,geranyl acetate,3,7-dimethyl-2,6-octadien-1-yl acetate,105-87-3,7726,CSID:105-87-3,C12H20O2,196.29,0.899,,237,sweet floral fruity,mevalonate pathway,A-GEN-TPS-GERA1; A-GEN-TPS-GERA2,Rosa spp.,petal,PMID:12855420,
A-CMP-013,camphor,1,7,7-trimethylbicyclo[2.2.1]heptan-2-one,76-22-2,2545,CSID:76-22-2,C10H16O,152.23,1.000,,204,sharp camphor woody,mevalonate pathway,A-GEN-TPS-CAM1; A-GEN-TPS-CAM2,Cinnamomum;Rosmarinus,wood,PMID:10924511,
A-CMP-014,borneol,1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol,507-70-0,6559,CSID:507-70-0,C10H18O,154.25,1.010,,210,balsamic mint,mevalonate pathway,A-GEN-TPS-BOR1; A-GEN-TPS-BOR2,Salvia;Rosmarinus,leaf,PMID:10924511,
A-CMP-015,thymol,2-isopropyl-5-methylphenol,89-83-8,8642,CSID:89-83-8,C10H14O,150.22,0.969,,232,herbaceous phenolic,phenylpropanoid,A-GEN-TPS-THY1; A-GEN-TPS-THY2,Thymus;Origanum,leaf,PMID:12781682,
A-CMP-016,carvacrol,5-isopropyl-2-methylphenol,499-75-2,10364,CSID:499-75-2,C10H14O,150.22,0.977,,237,sharp phenolic,phenylpropanoid,A-GEN-TPS-CAR1; A-GEN-TPS-CAR2,Origanum;Thymus,leaf,PMID:12781682,
A-CMP-017,menthol,(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol,89-48-5,16573,CSID:89-48-5,C10H20O,156.27,0.890,,212,cooling minty,mevalonate pathway,A-GEN-TPS-MEN1; A-GEN-TPS-MEN2,Mentha,leaf,PMID:10709672,
A-CMP-018,alpha-terpinene,1-methyl-2-(prop-1-en-2-yl)cyclohexa-1,3-diene,99-86-5,6012,CSID:99-86-5,C10H16,136.23,0.838,,174,sharp citrus herbal,mevalonate pathway,A-GEN-TPS-TER1; A-GEN-TPS-TER2,Melaleuca;Citrus,leaf,PMID:10924511,
A-CMP-019,gamma-terpinene,1-methyl-4-(prop-1-en-2-yl)cyclohexa-1,4-diene,99-84-3,250637,CSID:99-84-3,C10H16,136.23,0.846,,183,herbal citrus,mevalonate pathway,A-GEN-TPS-TER3; A-GEN-TPS-TER4,Melaleuca;Citrus,leaf,PMID:10924511,
A-CMP-020,terpinen-4-ol,2-(prop-1-en-2-yl)-5-methylcyclohexan-1-ol,562-74-3,14157,CSID:562-74-3,C10H18O,154.25,0.927,,217,herbal woody spicy,mevalonate pathway,A-GEN-TPS-T4OL1; A-GEN-TPS-T4OL2,Melaleuca;Origanum,leaf,PMID:10924511,
A-CMP-021,sabinene,thujane,100-51-6 (mixed),22479,CSID:22479,C10H16,136.23,0.840,,164,sharp citrus woody,mevalonate pathway,A-GEN-TPS-SAB1; A-GEN-TPS-SAB2,Pinus;Citrus,needle,PMID:10782301,
A-CMP-022,alpha-terpineol,2-(prop-1-en-2-yl)-5-methylcyclohexan-1-ol,10462-41-1 (mixed),10624,CSID:10462-41-1,C10H18O,154.25,0.933,,219,floral lilac,mevalonate pathway,A-GEN-TPS-TPEL1; A-GEN-TPS-TPEL2,Pinus;Citrus,flower,PMID:10924511,
A-CMP-023,beta-damascenone,1-(2,6,6-trimethylcyclohexa-1,3-dien-1-yl)but-2-en-1-one,23726-91-2,15477,CSID:23726-91-2,C13H20O,192.30,0.950,,na,fruity apple rose,carotenoid cleavage,A-GEN-DAM1; A-GEN-DAM2,Rosa;Vitis,flower,PMID:12855420,
A-CMP-024,beta-ionone,4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one,79-77-6,5828,CSID:79-77-6,C13H20O,192.30,0.948,,na,floral violet,carotenoid cleavage,A-GEN-ION1; A-GEN-ION2,Vitis;Rosa,flower,PMID:12855420,
A-CMP-025,nootkatone,4,4a,5,6,7,8-hexahydro-3,5,5-trimethyl-1-naphthalenol,4674-20-2,10477,CSID:4674-20-2,C15H22O,218.33,0.997,,na,citrus grapefruit,carotenoid cleavage,A-GEN-NOO1; A-GEN-NOO2,Citrus paradisi;Valeriana,oils,PMID:10924511,
A-CMP-026,valencene,4,4a,5,6,7,8-hexahydro-3,5,5-trimethyl-1-naphthalenemethanol,502-49-2,51902,CSID:502-49-2,C15H24,204.35,0.901,,na,fruity citrus,mevalonate pathway,A-GEN-VAL1; A-GEN-VAL2,Citrus sinensis,oil,PMID:10924511,
A-CMP-027,farnesol (E,E),3,7,11-trimethyl-2,6,10-dodecatrien-1-ol,4602-84-0,39574,CSID:4602-84-0,C15H26O,222.37,0.890,,na,delicate floral,mevalonate pathway,A-GEN-TPS-FAR1; A-GEN-TPS-FAR2,Achillea;Rosa,flower,PMID:12855420,
A-CMP-028,sesquiterpene lactone (costunolide),costunolide,620-05-3,51670,CSID:620-05-3,C15H20O3,232.32,1.000,,106,bitter herbaceous,mevalonate pathway,A-GEN-TPS-COST1; A-GEN-TPS-COST2,Costus;Saussurea,root,PMID:12781682,
A-CMP-029,pulegone,(2S,5R)-2-isopropyl-5-methylcyclohex-2-en-1-one,89-82-7,25297,CSID:89-82-7,C10H16O,152.23,0.938,,224,herbal minty,mevalonate pathway,A-GEN-TPS-PUL1; A-GEN-TPS-PUL2,Mentha;Rosmarinus,leaf,PMID:10709672,
A-CMP-030,caryophyllene oxide,4,8,13,13-tetramethyl-5-methylidene-4,8,13,14-tetrahydro-1H-cyclopenta[b]cycloprop[h]azulene 1a(2aH)-yl methanone,1139-30-6,62136,CSID:62136,C15H24O,220.35,1.000,,96,woody earthy,oxidation,A-GEN-TPS-CARYOX1; A-GEN-TPS-CARYOX2,clove;Piper nigrum,oil,PMID:15834877,
