inventory_id,strain_id,cryovial_count,passage_number,storage_location,last_viability_pct,last_qc_date,release_status,notes
B-INV-STR-017,B-STR-YE-017,42,5,Cryobank Rack C,96,2026-04-08,released,"Available for pilot scale-up"
B-INV-STR-018,B-STR-YE-018,28,4,Cryobank Rack C,94,2026-04-05,released,"Bench validated only"
B-INV-STR-019,B-STR-YE-019,22,3,Cryobank Rack A,91,2026-04-02,released,"Bench validated; pilot pending"
B-INV-STR-020,B-STR-YE-020,35,4,Cryobank Rack B,93,2026-04-10,released,"Greenhouse validated; scale-up pending"
B-INV-STR-021,B-STR-YE-021,18,4,Cryobank Rack A,93,2024-04-05,hold_scaleup,"Bench promising but pilot release pending"
B-INV-STR-022,B-STR-LA-009,55,6,Cryobank Rack D,97,2026-04-12,released,"Pilot ready; active campaigns"
B-INV-STR-023,B-STR-LA-010,38,5,Cryobank Rack D,95,2026-04-08,released,"Pilot scale available"
B-INV-STR-024,B-STR-YE-022,19,3,Cryobank Rack A,90,2026-03-28,released,"Greenhouse validated"
B-INV-STR-025,B-STR-YE-023,14,2,Cryobank Rack B,88,2026-03-25,hold_early_stage,"Early stage seed bank"
B-INV-STR-026,B-STR-YE-024,31,4,Cryobank Rack A,94,2026-04-06,released,"Bench validated; promising profile"
B-INV-STR-027,B-STR-LA-011,26,5,Cryobank Rack D,96,2026-04-11,released,"Greenhouse validated"
B-INV-STR-028,B-STR-YE-025,12,2,Cryobank Rack B,86,2026-03-20,hold_early_stage,"Very early stage; limited inventory"
B-INV-STR-029,B-STR-YE-026,24,3,Cryobank Rack C,92,2026-04-04,released,"Greenhouse validated"
B-INV-STR-030,B-STR-YE-027,16,2,Cryobank Rack A,89,2026-03-30,hold_early_stage,"Specialty application only"
B-INV-STR-031,B-STR-LA-012,21,4,Cryobank Rack D,94,2026-04-07,released,"Greenhouse validated"
B-INV-STR-032,B-STR-YE-028,48,5,Cryobank Rack C,95,2026-04-09,released,"Pilot ready; not ester-focused"
B-INV-STR-033,B-STR-YE-029,20,3,Cryobank Rack B,91,2026-04-03,released,"Bench validated; needs optimization"
B-INV-STR-034,B-STR-YE-030,33,4,Cryobank Rack A,94,2026-04-01,released,"Heat tolerant only; no flavor profile"
