inventory_id,cultivar_id,lot_id,available_seed_units,germination_pct,storage_location,last_qc_date,release_status,notes
A-INV-SEED-01,A-CUL-TOM-014,LOT-TOM-014-2025B,1800,91,Austin Cold Room 2,2025-11-15,released,"Previous season carryover; still viable"
A-INV-SEED-02,A-CUL-TOM-014,LOT-TOM-014-2026A,2400,94,Austin Cold Room 2,2026-04-04,released,"New season production; primary stock"
A-INV-SEED-03,A-CUL-TOM-022,LOT-TOM-022-2026A,3800,92,Austin Cold Room 1,2026-04-02,hold_field_validation,"Good seed quantity but not field released"
A-INV-SEED-04,A-CUL-TOM-031,LOT-TOM-031-2026A,5200,96,Austin Cold Room 3,2026-03-28,released,"Drought-only line; no PMR validation needed"
A-INV-SEED-05,A-CUL-TOM-015,LOT-TOM-015-2026A,2100,89,Austin Cold Room 1,2026-04-10,released,"Early flowering cultivar"
A-INV-SEED-06,A-CUL-TOM-016,LOT-TOM-016-2026A,450,88,Austin Cold Room 2,2026-03-15,hold_greenhouse_only,"Limited seed; greenhouse validation only"
A-INV-SEED-07,A-CUL-TOM-017,LOT-TOM-017-2025B,1200,93,Austin Cold Room 3,2025-12-01,released,"Blight resistance line"
A-INV-SEED-08,A-CUL-TOM-018,LOT-TOM-018-2026A,890,91,Austin Cold Room 1,2026-04-05,released,"Organic-compatible line"
A-INV-SEED-09,A-CUL-TOM-019,LOT-TOM-019-2026A,1650,95,Austin Cold Room 2,2026-04-01,released,"High lycopene production"
A-INV-SEED-10,A-CUL-TOM-020,LOT-TOM-020-2026A,2800,90,Austin Cold Room 3,2026-03-25,released,"Nematode resistance seed"
A-INV-SEED-11,A-CUL-TOM-021,LOT-TOM-021-2026A,1600,87,Austin Cold Room 1,2026-03-20,hold_greenhouse_only,"Fusarium line; field pending"
A-INV-SEED-12,A-CUL-TOM-023,LOT-TOM-023-2026A,3400,93,Austin Cold Room 2,2026-04-08,released,"Dual drought marker"
A-INV-SEED-13,A-CUL-TOM-024,LOT-TOM-024-2026A,520,86,Austin Cold Room 3,2026-03-18,hold_greenhouse_only,"Limited seed availability"
A-INV-SEED-14,A-CUL-PEP-008,LOT-PEP-008-2026A,4100,94,Austin Cold Room 1,2026-04-12,released,"Salt tolerance pepper"
A-INV-SEED-15,A-CUL-TOM-025,LOT-TOM-025-2026A,780,89,Austin Cold Room 2,2026-03-22,hold_greenhouse_only,"Dual disease; field trials pending"
A-INV-SEED-16,A-CUL-TOM-026,LOT-TOM-026-2026A,2900,92,Austin Cold Room 3,2026-04-03,released,"Verticillium resistance"
A-INV-SEED-17,A-CUL-TOM-027,LOT-TOM-027-2026A,1200,84,Austin Cold Room 1,2026-02-28,hold_early_stage,"Very early stage seed"
A-INV-SEED-18,A-CUL-TOM-028,LOT-TOM-028-2026A,2100,90,Austin Cold Room 2,2026-04-07,released,"Color development line"
A-INV-SEED-19,A-CUL-PEP-009,LOT-PEP-009-2026A,1850,88,Austin Cold Room 3,2026-03-30,released,"Heat tolerant pepper"
A-INV-SEED-20,A-CUL-TOM-029,LOT-TOM-029-2026A,350,82,Austin Cold Room 1,2026-01-15,hold_early_stage,"Seed increase in progress; very limited"
