Vial_Barcode,Vial_Position,Rack,Strain_ID,Strain_Name,Passage,Viability_pct,QC_Date,QC_Analyst,Status,Available_Vials,Cryovial_Count,Storage_Location,Last_Access_Date,Notes
B-INV-STR-017-001,C-01-001,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,96,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-002,C-01-002,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,96,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-003,C-01-003,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,95,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-004,C-01-004,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,94,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-005,C-01-005,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,96,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-006,C-01-006,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,97,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-007,C-02-001,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,95,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-008,C-02-002,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,96,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-009,C-02-003,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,94,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-017-010,C-02-004,Rack C,B-STR-YE-017,Yeast EsterMax 17,P5,95,2026-04-08,MWebb,RELEASED,Yes,10,Cryobank Rack C,2026-04-10,Primary production strain
B-INV-STR-018-001,C-03-001,Rack C,B-STR-YE-018,Yeast BananaFlow 18,P4,94,2026-04-05,MWebb,RELEASED,Yes,3,Cryobank Rack C,2026-04-06,Bench screening strain
B-INV-STR-018-002,C-03-002,Rack C,B-STR-YE-018,Yeast BananaFlow 18,P4,94,2026-04-05,MWebb,RELEASED,Yes,3,Cryobank Rack C,2026-04-06,Bench screening strain
