field_block_id,region,soil_type,irrigation_status,last_soil_test_date,available_area_m2,planting_window_start,planting_window_end,notes
A-FLD-BLOCK-1,Texas Zone 8,sandy_loam,ready,2026-03-20,950,2026-04-15,2026-05-20,"Primary drought trial block"
A-FLD-BLOCK-2,Arizona Zone 9b,clay_loam,limited,2026-03-22,1100,2026-03-25,2026-04-30,"Heat stress zone; supplemental irrigation only"
A-FLD-BLOCK-3,Texas Zone 8,sandy_loam,ready,2026-03-25,1200,2026-04-20,2026-05-18,"Suitable for drought package trial or seed increase"
A-FLD-BLOCK-4,Florida Zone 9a,organic_muck,ready,2026-02-18,800,2026-04-01,2026-05-15,"High humidity; disease pressure block"
A-FLD-BLOCK-5,Texas Zone 8,sandy_loam,ready,2026-03-15,1450,2026-04-18,2026-05-25,"Nutritional trait evaluation block"
A-FLD-BLOCK-6,California Central Valley,clay,ready,2026-03-10,1300,2026-03-15,2026-04-30,"Nematode pressure known; use resistant cultivars"
A-FLD-BLOCK-7,Texas Zone 8,sandy_loam,ready,2026-04-01,650,2026-04-25,2026-05-10,"Small block; retest of A-CUL-TOM-022"
A-FLD-BLOCK-8,Florida Zone 9a,organic_muck,ready,2026-02-20,900,2026-04-05,2026-05-20,"Dual disease screening block"
A-FLD-BLOCK-9,Texas Zone 8,loam,planned,2026-03-28,1000,2026-05-01,2026-06-15,"New block; soil prep ongoing"
A-FLD-BLOCK-10,California Central Valley,sandy,ready,2026-03-12,1700,2026-03-20,2026-05-05,"Saline irrigation testing site"
A-FLD-BLOCK-11,Arizona Zone 9b,sandy_clay,limited,2026-02-25,750,2026-03-25,2026-04-25,"Heat extreme; supplemental water required"
A-FLD-BLOCK-12,Texas Zone 8,sandy_loam,ready,2026-04-05,550,2026-04-22,2026-05-08,"Small area for PMR retest"
A-FLD-BLOCK-13,California Central Valley,clay_loam,ready,2026-03-08,1400,2026-03-18,2026-05-01,"Pepper heat tolerance block"
A-FLD-BLOCK-14,Texas Zone 8,loam,planned,2026-04-10,1800,2026-05-10,2026-06-20,"Expansion area for spring 2026"
A-FLD-BLOCK-15,Texas Zone 8,sandy_loam,ready,2026-03-25,1200,2026-04-20,2026-05-18,"Citrus oil cultivar block; Valencia Royale and Tahitian Gold planted"
A-FLD-BLOCK-16,California Central Valley,sandy_loam,ready,2026-03-20,1100,2026-03-25,2026-05-10,"Lemon and citrus selection block; Meyer Lemon and Eureka planted"
A-FLD-BLOCK-17,Oregon Willamette Valley,volcanic_loam,ready,2026-03-15,800,2026-04-01,2026-05-30,"Lavender and essential oil block; Provenance True and Grosso Select"
A-FLD-BLOCK-18,Gulf Coast Texas,sandy,ready,2026-04-01,650,2026-04-15,2026-05-30,"Lemongrass production block; Lemongrass Pro planted"
A-FLD-BLOCK-19,Pacific Northwest Washington,sandy_loam,ready,2026-03-25,550,2026-04-01,2026-06-01,"Hop evaluation block; Cascade Gold and Noble Select"
A-FLD-BLOCK-20,Gulf Coast Texas,clay_loam,ready,2026-02-15,400,2026-02-25,2026-04-30,"Rose and floral block; Rose Absolute Plus (long-term cultivation)"
A-FLD-BLOCK-21,Florida Zone 9a,sandy,ready,2026-02-01,350,2026-02-15,2026-04-15,"Tropical spice block; Clove Bud Elite (perennial)"
A-FLD-BLOCK-22,Pacific Northwest Oregon,sandy_loam,ready,2026-03-20,700,2026-03-28,2026-05-15,"Mint production block; Peppermint High Grade"
A-FLD-BLOCK-23,Florida Zone 9a,sandy,ready,2026-04-15,500,2026-05-01,2026-06-15,"Tea tree oil block; Tea Tree Select planted"
A-FLD-BLOCK-24,Gulf Coast Texas,sandy_loam,ready,2026-03-25,400,2026-04-01,2026-05-30,"Herb and basil block; Thai Basil Supreme (multiple harvests)"
A-FLD-BLOCK-25,Florida Zone 9a,organic_muck,ready,2026-02-10,450,2026-02-15,2026-04-30,"Citrus-grapefruit block; Grapefruit White planted"
