review_id,permit_id,project_name,status,applied_date,approved_date
2026-104882 PR,2026-104882 BP,1417 Berkshire Dr Kitchen Remodel,Pending - Holds,2026-04-02,
2025-122556 PR,2025-122556 BP,6403 Arnold Dr New Pool,Approved,2025-07-17,2025-09-02
2026-098100 PR,2026-098100 BP,Rio Grande Duplex Foundation,Approved,2026-03-11,2026-04-01
2026-110233 PR,2026-110233 EP,Wagon Hitch Panel Upgrade,In Review,2026-04-20,
2026-105540 PR,2026-105540 MP,29th St HVAC Replacement,Approved,2026-04-05,2026-04-19
2026-112874 PR,2026-112874 BP,Govalle ADU Conversion,Pending - Holds,2026-04-28,
2026-099781 PR,2026-099781 PP,Cesar Chavez Sewer Line,Approved,2026-03-15,2026-03-30
2026-114002 PR,2026-114002 BP,Manchaca Rd Tenant Finish-Out,In Review,2026-05-01,
2026-101220 PR,2026-101220 BP,Avenue G Roof Repair,Approved,2026-03-22,2026-04-08
2026-115119 PR,2026-115119 BP,E 6th St Carport Addition,In Review,2026-05-04,
2026-107644 PR,2026-107644 EP,Salado St Solar PV,Approved,2026-04-12,2026-04-25
2026-113288 PR,2026-113288 BP,Bull Creek Second-Story Addition,In Review,2026-04-30,
