Time,Temperature_C,pH,Dissolved_O2_pct,RPM,Glucose_g_L,OD600,ViableCells_pct,Notes,Technician,Event
2026-03-22 09:15,14.1,5.20,78,150,18.2,0.48,94,START INOCULATION,MWebb,INOC
2026-03-22 10:15,14.0,5.18,72,150,17.8,0.65,94,,MWebb,
2026-03-22 11:15,14.1,5.16,68,150,17.1,0.89,93,,MWebb,
2026-03-22 12:15,14.0,5.14,65,155,16.3,1.21,93,,MWebb,
2026-03-22 13:15,14.1,5.12,62,155,15.4,1.64,92,,MWebb,
2026-03-22 14:15,14.0,5.11,58,155,14.5,2.21,92,,MWebb,
2026-03-22 15:15,14.1,5.10,54,160,13.6,2.98,91,,MWebb,
2026-03-22 16:15,14.0,5.09,51,160,12.7,3.81,91,,MWebb,
2026-03-22 17:15,14.1,5.08,48,160,11.8,4.62,90,,MWebb,
2026-03-22 18:15,14.0,5.07,45,165,10.9,5.33,90,,MWebb,
2026-03-22 19:15,14.1,5.06,42,165,9.9,5.87,89,,MWebb,
2026-03-22 20:15,14.0,5.05,39,165,9.0,6.28,89,,MWebb,
2026-03-22 21:15,14.1,5.04,37,170,8.1,6.52,88,,MWebb,
2026-03-22 22:15,14.0,5.03,34,170,7.2,6.67,88,,MWebb,
2026-03-22 23:15,14.1,5.03,32,170,6.3,6.75,87,,MWebb,
2026-03-23 00:15,14.0,5.02,30,175,5.5,6.78,87,,MWebb,
2026-03-23 01:15,14.1,5.02,28,175,4.8,6.79,86,,MWebb,
2026-03-23 02:15,14.0,5.01,26,175,4.1,6.77,86,,MWebb,
2026-03-23 03:15,14.1,5.01,24,175,3.5,6.74,86,,MWebb,
2026-03-23 04:15,14.0,5.00,22,175,2.9,6.70,85,,MWebb,
2026-03-23 05:15,14.1,5.00,20,175,2.4,6.65,85,,MWebb,
2026-03-23 06:15,14.0,4.99,19,175,2.0,6.58,84,,MWebb,
2026-03-23 07:15,14.1,4.98,18,175,1.6,6.50,84,,MWebb,
2026-03-23 08:15,14.0,4.97,17,175,1.3,6.41,83,,MWebb,
2026-03-23 12:15,14.1,4.95,15,175,0.9,6.25,83,,MWebb,
2026-03-23 16:15,14.0,4.93,14,175,0.6,6.10,82,,MWebb,
2026-03-23 20:15,14.1,4.89,12,175,0.5,5.95,82,,MWebb,
2026-03-24 00:15,14.0,4.86,11,175,0.5,5.80,81,,MWebb,
2026-03-24 04:15,14.1,4.82,10,175,0.5,5.68,81,,MWebb,
2026-03-24 08:15,14.0,4.79,9,175,0.5,5.55,80,,MWebb,
2026-03-24 12:15,14.1,4.75,8,175,0.5,5.42,80,,MWebb,
2026-03-24 16:15,14.0,4.71,8,175,0.5,5.31,79,,MWebb,
2026-03-24 20:15,14.1,4.68,7,175,0.5,5.22,79,,MWebb,
2026-03-25 00:15,14.0,4.65,7,175,0.5,5.14,78,,MWebb,
2026-03-25 04:15,14.1,4.61,6,175,0.5,5.07,78,,MWebb,
2026-03-25 08:15,14.0,4.58,6,175,0.5,5.00,77,,MWebb,
2026-03-25 12:15,14.1,4.55,5,175,0.5,4.94,77,,MWebb,
2026-03-25 16:15,14.0,4.52,5,175,0.5,4.88,76,,MWebb,
2026-03-25 20:15,14.1,4.49,5,175,0.5,4.83,76,,MWebb,
2026-03-26 00:15,14.0,4.46,5,175,0.5,4.77,75,,MWebb,
2026-03-26 04:15,14.1,4.42,5,175,0.5,4.72,75,,MWebb,
2026-03-26 08:15,14.0,4.40,5,175,0.5,4.68,91,END HARVEST Viability measured after cooldown,MWebb,HARVEST
,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,
Final Volume L,19.2,,,,,,,,,,
Final OD600,5.75,,,,,,,,,,
Final pH,4.40,,,,,,,,,,
Final Viability,91%,,,,,,,,,,
Wet Biomass g,847,,,,,,,,,,
Yield gDCW/g glucose,0.27,,,,,,,,,,
Total Fermentation Time hr,96,,,,,,,,,,
