cross_id,female_parent_id,male_parent_id,cross_date,offspring_cultivar_id,generation,program_notes
A-CRS-0001,A-CUL-TOM-BASE-02,A-CUL-TOM-BASE-08,2018-03-12,A-CUL-TOM-014,F1,"Good germination; 8 of 10 seeds viable"
A-CRS-0002,A-CUL-TOM-014,A-CUL-TOM-BASE-02,2019-02-14,,F2,"F2 segregation observed; no line advanced"
A-CRS-0003,A-CUL-TOM-014,A-CUL-TOM-022,2019-04-05,A-CUL-TOM-029,F2,"Selected 4 of 18 plants for drought + PMR stack"
A-CRS-0004,A-CUL-TOM-029,A-CUL-TOM-BASE-02,2020-03-01,A-CUL-TOM-030,F3,"Stable PMR-alt marker in 6 of 9 progeny"
A-CRS-0005,A-CUL-TOM-BASE-05,A-CUL-TOM-BASE-07,2019-05-22,A-CUL-TOM-032,F1,"Vigorous F1; heat tolerance confirmed in greenhouse"
A-CRS-0006,A-CUL-TOM-032,A-CUL-TOM-BASE-07,2020-06-10,,F2,"Lost seed — F2 not continued after cooler failure"
A-CRS-0007,A-CUL-TOM-032,A-CUL-TOM-033,2021-03-14,A-CUL-TOM-041,F3,"Color + heat combination; good vigor in F3, kept 5 of 14 plants"
A-CRS-0008,A-CUL-TOM-BASE-07,A-CUL-TOM-BASE-03,2018-06-01,A-CUL-TOM-016,F1,"HeatKing F1 source cross; stable"
A-CRS-0009,A-CUL-TOM-016,A-CUL-TOM-BASE-07,2019-07-15,A-CUL-TOM-033,F2,"Improved heat allele stacking confirmed"
A-CRS-0010,A-CUL-TOM-BASE-04,A-CUL-TOM-BASE-13,2018-09-20,A-CUL-TOM-017,F1,"Clean blight marker; all 12 seedlings positive"
A-CRS-0011,A-CUL-TOM-017,A-CUL-TOM-024,2020-02-28,A-CUL-TOM-035,F2,"Dual disease package selected from 16 plants; kept 4"
A-CRS-0012,A-CUL-TOM-035,A-CUL-TOM-BASE-04,2021-04-10,,F3,"F3 progeny dropped; yield was unacceptable"
A-CRS-0013,A-CUL-TOM-035,A-CUL-TOM-043,2022-05-05,A-CUL-TOM-045,F4,"Stable blight+PMR4 combination; advanced to field"
A-CRS-0014,A-CUL-TOM-BASE-09,A-CUL-TOM-BASE-11,2019-01-10,A-CUL-TOM-018,F1,"WormGuard source; clean single-marker event"
A-CRS-0015,A-CUL-TOM-018,A-CUL-TOM-BASE-11,2020-03-22,A-CUL-TOM-039,F2,"Dual FW marker confirmed; fruit set excellent"
A-CRS-0016,A-CUL-TOM-039,A-CUL-TOM-037,2021-05-17,,F3,"Nematode+worm combo unstable in F3; line retired"
A-CRS-0017,A-CUL-TOM-BASE-06,A-CUL-TOM-BASE-17,2018-11-30,A-CUL-TOM-019,F1,"LycoMax F1; strong lycopene expression"
A-CRS-0018,A-CUL-TOM-019,A-CUL-TOM-BASE-06,2019-12-08,A-CUL-TOM-034,F2,"LYC3 marker added; good in F2, kept 6 of 20"
A-CRS-0019,A-CUL-TOM-034,A-CUL-TOM-BASE-17,2021-01-25,A-CUL-TOM-051,F3,"Added blight resistance; stable in 5 of 11 plants"
A-CRS-0020,A-CUL-TOM-BASE-10,A-CUL-TOM-BASE-11,2019-03-14,A-CUL-TOM-020,F1,"NemaFree F1; all progeny marker-positive"
A-CRS-0021,A-CUL-TOM-020,A-CUL-TOM-BASE-11,2020-04-04,A-CUL-TOM-037,F2,"NEM+FUS combo; 9 of 15 plants retained"
A-CRS-0022,A-CUL-TOM-037,A-CUL-TOM-048,2021-06-01,,F3,"F3 line dropped; fusarium expression inconsistent"
A-CRS-0023,A-CUL-TOM-BASE-11,A-CUL-TOM-BASE-15,2018-07-19,A-CUL-TOM-021,F1,"FusariumBloc source; strong wilt block"
A-CRS-0024,A-CUL-TOM-021,A-CUL-TOM-026,2019-08-12,A-CUL-TOM-036,F2,"FUS+VERT dual confirmed; kept 7 of 19 plants"
A-CRS-0025,A-CUL-TOM-036,A-CUL-TOM-044,2021-02-20,,F3,"Line 036×044 failed; poor germination at 14%"
A-CRS-0026,A-CUL-TOM-036,A-CUL-TOM-026,2022-03-18,A-CUL-TOM-044,F4,"Stable wilt package; CA processing tomato track"
A-CRS-0027,A-CUL-TOM-BASE-12,A-CUL-TOM-BASE-10,2019-05-01,A-CUL-TOM-023,F1,"DoubleDrought F1; good dual-marker uptake"
A-CRS-0028,A-CUL-TOM-023,A-CUL-PEP-BASE-01,2020-06-15,A-CUL-TOM-040,F2,"Drought+salt combination; cross with pepper base line"
A-CRS-0029,A-CUL-TOM-040,A-CUL-TOM-049,2021-07-09,,F3,"Vigor dropped in F3 heat trial; not advanced"
A-CRS-0030,A-CUL-TOM-BASE-13,A-CUL-TOM-BASE-04,2018-12-01,A-CUL-TOM-024,F1,"MilResist F1; PMR markers stable"
A-CRS-0031,A-CUL-TOM-024,A-CUL-TOM-043,2020-01-14,A-CUL-TOM-043,F2,"Triple PMR stack selected; 3 of 12 plants stable"
A-CRS-0032,A-CUL-TOM-043,A-CUL-TOM-024,2021-03-03,,F3,"F3 progeny lost during transplant; greenhouse flood event"
