cultivar_id,name,crop,parent_line_ids,target_trait_ids,marker_ids,status,breeding_stage,alt_name,release_year,notes
A-CUL-TOM-029,Solara-29,tomato,"A-CUL-TOM-BASE-02","A-TRT-DRT;A-TRT-PMR","A-GEN-DRT2;A-GEN-PMR3",active,field_ready,Sunny,2022,"Sibling line to Solara-14; strong drought package"
A-CUL-TOM-030,Solara-30,tomato,"A-CUL-TOM-BASE-02","A-TRT-DRT;A-TRT-PMR","A-GEN-DRT2;A-GEN-PMR4",active,field_ready,Sunny,2022,"Alt PMR marker variant of Solara series"
A-CUL-TOM-032,Arida-32,tomato,"A-CUL-TOM-BASE-05","A-TRT-DRT;A-TRT-HEAT","A-GEN-DRT2;A-GEN-HEAT1",active,greenhouse_validated,,2023,"Combined drought-heat trait; arid southwest target"
A-CUL-TOM-033,HeatKing-33,tomato,"A-CUL-TOM-BASE-07","A-TRT-HEAT","A-GEN-HEAT1;A-GEN-HEAT2",active,field_ready,HK33,2023,"Improved heat tolerance over HeatKing-16"
A-CUL-TOM-034,LycoMax-34,tomato,"A-CUL-TOM-BASE-06","A-TRT-LYC","A-GEN-LYC1;A-GEN-LYC2;A-GEN-LYC3",active,field_ready,,2024,"Triple lycopene marker stack; premium fresh market"
A-CUL-TOM-035,ShieldLeaf-35,tomato,"A-CUL-TOM-BASE-04","A-TRT-BLIGHT;A-TRT-PMR","A-GEN-BLIGHT1;A-GEN-PMR3",active,greenhouse_validated,,2023,"Dual disease package for humid SE markets"
A-CUL-TOM-036,FusariumBloc-36,tomato,"A-CUL-TOM-BASE-11","A-TRT-FUS;A-TRT-VERT","A-GEN-FUS1;A-GEN-VERT1",active,field_ready,,2024,"Expanded wilt-resistance panel"
A-CUL-TOM-037,NemaFree-37,tomato,"A-CUL-TOM-BASE-10","A-TRT-NEM;A-TRT-FUS","A-GEN-NEM1;A-GEN-FUS1",active,field_ready,,2023,"Nematode + fusarium combined; high demand in FL"
A-CUL-TOM-038,EarlyGlade-38,tomato,"A-CUL-TOM-BASE-03","A-TRT-EAR-FL","A-GEN-EAR-FL1;A-GEN-EAR-FL2",active,greenhouse_validated,,2024,"Earlier flower timing than EarlyGlade-15"
A-CUL-TOM-039,WormGuard-39,tomato,"A-CUL-TOM-BASE-09","A-TRT-FW","A-GEN-FW1;A-GEN-FW2",active,field_ready,,2024,"Dual fruit worm markers; improved organic efficacy"
A-CUL-TOM-040,DoubleDrought-40,tomato,"A-CUL-TOM-BASE-12","A-TRT-DRT;A-TRT-SAL","A-GEN-DRT2;A-GEN-SAL1",active,greenhouse_validated,,2023,"Drought-salt combo; saline irrigation growers"
A-CUL-TOM-041,ColorMax-41,tomato,"A-CUL-TOM-BASE-17","A-TRT-LYC;A-TRT-HEAT","A-GEN-LYC1;A-GEN-HEAT1",active,field_ready,,2024,"Color + heat tolerance for summer harvest"
A-CUL-TOM-042,TripleDrought-42,tomato,"A-CUL-TOM-BASE-16","A-TRT-DRT","A-GEN-DRT2;A-GEN-DRT3;A-GEN-DRT4",experimental,pre_selection,TD42,,"New DRT4 marker under evaluation; not for distribution"
A-CUL-TOM-043,MilResist-43,tomato,"A-CUL-TOM-BASE-13","A-TRT-PMR","A-GEN-PMR3;A-GEN-PMR4;A-GEN-PMR5",active,greenhouse_validated,,2024,"Triple PMR stack; greenhouse market focus"
A-CUL-TOM-044,VerseFree-44,tomato,"A-CUL-TOM-BASE-15","A-TRT-VERT;A-TRT-FUS","A-GEN-VERT1;A-GEN-FUS1",active,field_ready,,2024,"Verticillium + fusarium; California processing tomato"
A-CUL-TOM-045,DoubleShield-45,tomato,"A-CUL-TOM-BASE-14","A-TRT-BLIGHT;A-TRT-PMR","A-GEN-BLIGHT1;A-GEN-PMR4",active,field_ready,,2025,"Improved blight marker over DoubleShield-25"
A-CUL-TOM-046,DryShield-46,tomato,"A-CUL-TOM-BASE-08","A-TRT-DRT;A-TRT-PMR","A-GEN-DRT2;A-GEN-PMR3",licensed_out,field_ready,,2023,"Licensed to regional seed co; production paused"
A-CUL-TOM-047,SunCrest-47,tomato,"A-CUL-TOM-BASE-18","A-TRT-DRT;A-TRT-LYC","A-GEN-DRT2;A-GEN-LYC2",active,greenhouse_validated,Sunny,2024,"Drought + lycopene premium positioning"
A-CUL-TOM-048,IronRoot-48,tomato,"A-CUL-TOM-BASE-19","A-TRT-NEM","A-GEN-NEM1;A-GEN-NEM2",active,field_ready,,2024,"Nematode resistance; sandy-loam soils preferred"
