transfer_id,date,strain_id,strain_name,transfer_type,source_vial,destination_vial,passage_number,medium_id,batch_prep_date,technician,viability_pct,notes
TRF-2026-001,2026-01-05,B-STR-YE-017,Yeast EsterMax 17,streak,YP-017-WK48,YP-017-001,12,B-MEDIA-EST-04,2026-01-03,JMartinez,95,Working bank
TRF-2026-002,2026-01-05,B-STR-YE-018,Yeast BananaFlow 18,streak,YP-018-WK48,YP-018-001,7,B-MEDIA-BAN-01,2026-01-03,JMartinez,92,
TRF-2026-003,2026-01-06,B-STR-LA-009,LactoCream 09,streak,YP-009-WK48,YP-009-001,15,B-MEDIA-LACT-02,2026-01-04,JMartinez,88,
TRF-2026-004,2026-01-12,B-STR-YE-017,Yeast EsterMax 17,glycerol stock,YP-017-001,GS-017-001,-80,NA,2026-01-10,JMartinez,90,Master bank
TRF-2026-005,2026-01-12,B-STR-YE-018,Yeast BananaFlow 18,glycerol stock,YP-018-001,GS-018-001,-80,NA,2026-01-10,JMartinez,89,Master bank
TRF-2026-006,2026-01-15,B-STR-LA-009,LactoCream 09,liquid prep,YP-009-001,LP-009-001,15,B-MEDIA-LACT-02,2026-01-14,kim.lee,91,
TRF-2026-007,2026-01-19,B-STR-YE-019,Yeast RoseMax 19,streak,YP-019-WK46,YP-019-001,8,B-MEDIA-FLOR-01,2026-01-17,kim.lee,87,
TRF-2026-008,2026-01-20,B-STR-YE-020,Yeast CitrusDrop 20,streak,YP-020-WK46,YP-020-001,6,B-MEDIA-CIT-01,2026-01-18,RThompson,93,
TRF-2026-009,2026-01-26,B-STR-YE-017,Yeast EsterMax 17, thaw and streak,GS-017-001,YP-017-002,12,B-MEDIA-EST-04,2026-01-24,JMartinez,,From master bank
TRF-2026-010,2026-02-01,B-STR-LA-010,LactoAcid 10,streak,YP-010-WK52,YP-010-001,16,B-MEDIA-LACT-02,2026-01-30,RThompson,86,
TRF-2026-011,2026-02-03,B-STR-YE-021,Yeast Citriflow 21,streak,YP-021-WK52,YP-021-001,5,B-MEDIA-EST-04,2026-02-01,JMartinez,94,
TRF-2026-012,2026-02-08,B-STR-YE-017,Yeast EsterMax 17,glycerol stock,YP-017-002,GS-017-002,-80,NA,2026-02-06,JMartinez,,Backup master
TRF-2026-013,2026-02-10,B-STR-YE-022,Yeast IsoAmyl 22,streak,YP-022-WK52,YP-022-001,7,B-MEDIA-BAN-01,2026-02-08,kim.lee,90,
TRF-2026-014,2026-02-15,B-STR-YE-023,Yeast FloralBlend 23,streak,YP-023-WK52,YP-023-001,4,B-MEDIA-FLOR-01,2026-02-13,RThompson,85,
TRF-2026-015,2026-02-18,B-STR-LA-009,LactoCream 09,glycerol stock,YP-009-001,GS-009-001,-80,NA,2026-02-16,JMartinez,,Master bank
TRF-2026-016,2026-02-22,B-STR-YE-024,Yeast CreamEst 24,streak,YP-024-WK50,YP-024-001,3,B-MEDIA-LACT-03,2026-02-20,kim.lee,88,New strain from vendor
TRF-2026-017,2026-03-01,B-STR-YE-017,Yeast EsterMax 17,liquid prep,YP-017-002,LP-017-001,12,B-MEDIA-EST-04,2026-02-27,RThompson,,For Run FERM-030
TRF-2026-018,2026-03-05,B-STR-YE-019,Yeast RoseMax 19,liquid prep,YP-019-001,LP-019-001,8,B-MEDIA-FLOR-01,2026-03-03,kim.lee,,For Run FERM-035
TRF-2026-019,2026-03-10,B-STR-YE-025,Yeast VanillaEst 25,streak,YP-025-WK51,YP-025-001,2,B-MEDIA-VANILLA,2026-03-08,RThompson,84,Very early passage
TRF-2026-020,2026-03-15,B-STR-LA-011,LactoCitrus 11,streak,YP-011-WK50,YP-011-001,5,B-MEDIA-ORGANIC-01,2026-03-13,JMartinez,89,
TRF-2026-021,2026-03-20,B-STR-YE-020,Yeast CitrusDrop 20,glycerol stock,YP-020-001,GS-020-001,-80,NA,2026-03-18,JMartinez,,Backup
TRF-2026-022,2026-04-01,B-STR-YE-017,,liquid prep,YP-017-002,LP-017-002,12,B-MEDIA-EST-04,2026-03-30,,,Accidentally prepared - stored as buffer
TRF-2026-023,2026-04-05,B-STR-YE-026,Yeast PearDrop 26,streak,YP-026-WK51,YP-026-001,3,B-MEDIA-BAN-01,2026-04-03,kim.lee,87,
TRF-2026-024,2026-04-10,B-STR-YE-027,Yeast Farnesol 27,streak,YP-027-WK51,YP-027-001,2,B-MEDIA-FLOR-01,2026-04-08,RThompson,85,Low viability at receipt
TRF-2026-025,2026-04-15,B-STR-LA-012,LactoFloral 12,streak,YP-012-WK51,YP-012-001,4,B-MEDIA-FLOR-01,2026-04-13,JMartinez,83,
TRF-2026-026,2026-04-20,B-STR-YE-017,Yeast EsterMax 17,liquid prep for pilot,LP-017-002,LP-017-PILOT1,12,B-MEDIA-EST-04,2026-04-18,JMartinez,93,Large prep for FERM-033
TRF-2026-027,2026-04-28,B-STR-YE-017,Yeast EsterMax 17,glycerol stock,LP-017-PILOT1,GS-017-003,-80,NA,2026-04-26,JMartinez,,Second master bank
TRF-2026-028,2026-05-01,B-STR-YE-028,Yeast AcidMax 28,streak,YP-028-WK52,YP-028-001,4,B-MEDIA-ORGANIC-03,2026-04-29,kim.lee,91,
TRF-2026-029,2026-05-05,B-STR-YE-029,Yeast Balanced 29,streak,YP-029-WK52,YP-029-001,3,B-MEDIA-LACT-02,2026-05-03,RThompson,88,
TRF-2026-030,2026-05-08,B-STR-YE-017,,streak from backup,GS-017-003,YP-017-003,12,B-MEDIA-EST-04,2026-05-06,,,Using backup master bank - verify
