case_id,opened_date,closed_date,priority,status,case_type,description,address,longitude,latitude,council_district,jurisdiction,violation_cite_number,inspector_id,inspector_name,date_updated,last_update,violation_status, parcel_id
2026-058299 CC,2026-05-09,,2,Pending,Structure Condition Violation(s),Structure Condition Violation(s),1417 BERKSHIRE DRIVE,-97.69614366,30.31654783,4,AUSTIN FULL PURPOSE,26-00146841,Charles Edwards|512-803-5812,2026-05-09,,
2026-058290 CC,2026-05-09,,4,Pending,Property Abatement,Property Abatement,3402 GALESBURG DRIVE,-97.83319031,30.2054513,5,AUSTIN FULL PURPOSE,26-00146680,Brandon Smith|,2026-05-09,,
2026-058298 CC,2026-05-09,,5,Pending,Property Abatement,Property Abatement,1100 E BRAKER LANE,-97.67094551,30.37555368,4,AUSTIN FULL PURPOSE,26-00146824,Mahiri Moody|(512) 939-1295,2026-05-09,,
2026-058311 CC,2026-05-09,,2,Pending,Structure Condition Violation(s),Structure Condition Violation(s),8001 W SH 71,-97.88548605,30.24445633,5,AUSTIN FULL PURPOSE,26-00147190,Dana Brockington|(512) 945-6094,2026-05-09,,
2026-058296 CC,2026-05-09,,3,Pending,Land Use Violation(s),Land Use Violation(s),776 E BRAKER LN,,,4,AUSTIN FULL PURPOSE,26-00146762,|,2026-05-09,,
2026-058309 CC,2026-05-09,,5,Pending,Property Abatement,Property Abatement,4148 STAGGERBRUSH RD,,,5,AUSTIN FULL PURPOSE,26-00146993,|(512) 552-8271,2026-05-09,,
2026-058294 CC,2026-05-09,,5,Pending,Property Abatement,Property Abatement,SARA DR and SPUR ST,,,5,AUSTIN FULL PURPOSE,26-00146713,|(512) 884-8718,2026-05-09,,
2026-058287 CC,2026-05-09,2026-05-09,2,Closed,Land Use Violation(s),Land Use Violation(s),1709 HOLLY STREET,-97.7276143,30.25373716,9,AUSTIN FULL PURPOSE,26-00146649,Micheal Ezimako|512-939-8190,2026-05-09,No Violation(s) Found/Inspection Performed
2026-058291 CC,2026-05-09,,5,Pending,Property Abatement,Property Abatement,ROCKING CHAIR RD and TABLE TOP TRL,,,5,AUSTIN FULL PURPOSE,26-00146702,|(512) 460-9142,2026-05-09,,
2026-058315 CC,2026-05-09,,5,Pending,Land Use Violation(s),Land Use Violation(s),7941 GAULT ST,,,5,AUSTIN FULL PURPOSE,26-00147286,|512-964-5585,2026-05-09,,
2026-058303 CC,2026-05-09,,5,Pending,Structure Condition Violation(s),Structure Condition Violation(s),8800 HAZELHURST DRIVE,-97.77009923,30.46080684,5,AUSTIN FULL PURPOSE,26-00146874,Gabriel Martinez|(512) 949-0966,2026-05-09,,
