Injection_ID,Injection_Date,Run_ID,Sample_ID,Compound_ID,Compound_Name,RT_min,Quantifier Ion,Qualifier1,Qualifier2,Concentration_mg_L,Unit, Calibration_R2,IS_Recovery_pct,Peak_Area,Signal_Noise,Notes,QC_Flag,Analyst
GCMS-033-001,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-EHEX,Ethyl hexanoate,8.42,88,60,101,42.3,mg/L,0.994,94.2,154287,45,PASS,OK,LOrtiz
GCMS-033-002,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-EBUT,Ethyl butyrate,6.18,60,88,116,31.7,mg/L,0.993,94.2,112456,38,PASS,OK,LOrtiz
GCMS-033-003,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-EOCT,Ethyl octanoate,12.56,88,60,127,18.4,mg/L,0.991,94.2,67891,28,PASS,OK,LOrtiz
GCMS-033-004,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-EVAL,Ethyl valerate,5.22,70,88,115,4.2,mg/L,0.990,94.2,15234,15,PASS,OK,LOrtiz
GCMS-033-005,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-EHEP,Ethyl heptanoate,9.87,88,60,101,3.8,mg/L,0.989,94.2,14123,12,PASS,OK,LOrtiz
GCMS-033-006,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-DIAC,Diacetyl,4.15,43,86,88,3.1,mg/L,0.992,94.2,11287,18,PASS,OK,LOrtiz
GCMS-033-007,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-ACET,Acetic acid,9.12,43,60,45,18,mg/L,0.988,94.2,65782,32,PASS,OK,LOrtiz
GCMS-033-008,2026-03-26,B-RUN-FERM-033,E17-033-B1,B-MET-BUTY,Butyric acid,10.34,60,73,88,ND,mg/L,0.991,94.2,<500,3,PASS,OK,LOrtiz
GCMS-033-009,2026-03-26,B-RUN-FERM-033,E17-033-B2,B-MET-EHEX,Ethyl hexanoate,8.42,88,60,101,41.8,mg/L,0.994,93.8,152301,44,PASS,OK,LOrtiz
GCMS-033-010,2026-03-26,B-RUN-FERM-033,E17-033-B2,B-MET-EBUT,Ethyl butyrate,6.18,60,88,116,30.9,mg/L,0.993,93.8,110892,37,PASS,OK,LOrtiz
GCMS-033-011,2026-03-26,B-RUN-FERM-033,E17-033-B2,B-MET-EOCT,Ethyl octanoate,12.56,88,60,127,17.9,mg/L,0.991,93.8,65872,27,PASS,OK,LOrtiz
GCMS-033-012,2026-03-26,B-RUN-FERM-033,E17-033-B2,B-MET-DIAC,Diacetyl,4.15,43,86,88,3.0,mg/L,0.992,93.8,10987,17,PASS,OK,LOrtiz
GCMS-033-013,2026-03-26,B-RUN-FERM-033,E17-033-DUP,B-MET-EHEX,Ethyl hexanoate,8.42,88,60,101,42.0,mg/L,0.994,94.0,153545,43,PASS,DUP,LOrtiz
GCMS-033-014,2026-03-26,B-RUN-FERM-033,E17-033-DUP,B-MET-EBUT,Ethyl butyrate,6.18,60,88,116,31.2,mg/L,0.993,94.0,111234,36,PASS,DUP,LOrtiz
GCMS-033-015,2026-03-26,B-RUN-FERM-033,E17-033-DUP,B-MET-EOCT,Ethyl octanoate,12.56,88,60,127,18.1,mg/L,0.991,94.0,66345,26,PASS,DUP,LOrtiz
GCMS-033-016,2026-03-26,B-RUN-FERM-033,BLANK,B-MET-EHEX,Ethyl hexanoate,8.42,88,60,101,ND,mg/L,na,na,<100,1,PASS,BLANK,LOrtiz
GCMS-033-017,2026-03-26,B-RUN-FERM-033,BLANK,B-MET-EBUT,Ethyl butyrate,6.18,60,88,116,ND,mg/L,na,na,<100,1,PASS,BLANK,LOrtiz
GCMS-033-018,2026-03-26,B-RUN-FERM-033,BLANK,B-MET-EOCT,Ethyl octanoate,12.56,88,60,127,ND,mg/L,na,na,<100,1,PASS,BLANK,LOrtiz
