synonym,cultivar_id,source,recorded_date
Sunny,A-CUL-TOM-014,breeder_notebook,01/14/2022
Solara 14,A-CUL-TOM-014,catalog_typo,2022-03-01
S-14,A-CUL-TOM-014,field_label,Mar 5 2022
Solara14,A-CUL-TOM-014,lims_entry,2022-06-10
Sunny-14,A-CUL-TOM-014,seed_inventory,07/22/2022
DryShield22,A-CUL-TOM-022,lims_entry,2022-08-15
Dry Shield 22,A-CUL-TOM-022,catalog_typo,2022-09-01
DS-22,A-CUL-TOM-022,field_label,Sep 14 2022
Arida31,A-CUL-TOM-031,lims_entry,2023-01-05
A-31,A-CUL-TOM-031,field_label,01/20/2023
EarlyGlade15,A-CUL-TOM-015,lims_entry,2022-04-11
Early Glade 15,A-CUL-TOM-015,catalog_typo,Apr 30 2022
EG-15,A-CUL-TOM-015,field_label,2022-05-02
HeatKing16,A-CUL-TOM-016,lims_entry,2022-06-01
HK-16,A-CUL-TOM-016,field_label,06/15/2022
ShieldLeaf17,A-CUL-TOM-017,lims_entry,Jun 20 2022
SL-17,A-CUL-TOM-017,field_label,2022-07-03
WormGuard18,A-CUL-TOM-018,lims_entry,2022-07-18
WG-18,A-CUL-TOM-018,seed_inventory,08/01/2022
LycoMax19,A-CUL-TOM-019,lims_entry,2022-08-22
Lyco Max,A-CUL-TOM-019,catalog_typo,Aug 30 2022
LM-19,A-CUL-TOM-019,field_label,2022-09-05
NemaFree20,A-CUL-TOM-020,lims_entry,09/10/2022
NF-20,A-CUL-TOM-020,field_label,2022-09-25
FusariumBloc21,A-CUL-TOM-021,lims_entry,2022-10-01
FusBloc,A-CUL-TOM-021,breeder_notebook,Oct 12 2022
SaltKing8,A-CUL-PEP-008,lims_entry,2022-10-20
SK-08,A-CUL-PEP-008,field_label,10/28/2022
Salt King,A-CUL-PEP-008,catalog_typo,2022-11-04
HeatPepper9,A-CUL-PEP-009,lims_entry,Nov 10 2022
HP-09,A-CUL-PEP-009,field_label,2022-11-22
Sunny-29,A-CUL-TOM-029,breeder_notebook,01/08/2023
Sunny29,A-CUL-TOM-029,lims_entry,2023-01-20
S-29,A-CUL-TOM-029,field_label,Jan 25 2023
Sunny-30,A-CUL-TOM-030,breeder_notebook,01/08/2023
Solara30,A-CUL-TOM-030,lims_entry,2023-02-14
HK33,A-CUL-TOM-033,breeder_notebook,Feb 28 2023
HeatKing33,A-CUL-TOM-033,lims_entry,2023-03-10
TD42,A-CUL-TOM-042,breeder_notebook,2023-04-01
Triple Drought 42,A-CUL-TOM-042,catalog_typo,04/15/2023
GE4,A-CUL-BSL-004,breeder_notebook,May 2 2023
GenovaElite4,A-CUL-BSL-004,lims_entry,2023-05-20
ML08,A-CUL-BSL-008,breeder_notebook,2023-06-14
MintLeaf8,A-CUL-BSL-008,lims_entry,Jun 30 2023
Sunny-47,A-CUL-TOM-047,breeder_notebook,2023-07-19
SunCrest47,A-CUL-TOM-047,lims_entry,07/28/2023
FB20,A-CUL-PEP-020,breeder_notebook,Aug 5 2023
FrostBite20,A-CUL-PEP-020,lims_entry,2023-08-22
FL11,A-CUL-LVD-011,breeder_notebook,2023-09-09
FrostLav11,A-CUL-LVD-011,lims_entry,Sep 25 2023
LavBlue1,A-CUL-LVD-001,lims_entry,2021-06-01
Lav Blue 1,A-CUL-LVD-001,catalog_typo,06/15/2021
LB-01,A-CUL-LVD-001,field_label,Jul 1 2021
LavBlue2,A-CUL-LVD-002,lims_entry,2022-04-10
FE50,A-CUL-TOM-050,breeder_notebook,2024-01-12
FrostEdge50,A-CUL-TOM-050,lims_entry,01/30/2024
GR58,A-CUL-TOM-058,breeder_notebook,Feb 14 2024
GreenRoof58,A-CUL-TOM-058,lims_entry,2024-02-28
Sunny-55,A-CUL-TOM-055,breeder_notebook,2024-03-07
SolaraThree,A-CUL-TOM-055,catalog_typo,Mar 20 2024
