harvest_id,harvest_date,cultivar_id,cultivar_name,field_block_id,plot,harvest_area_m2,batch_id,biomass_kg,fresh_weight_kg,dry_weight_kg,extraction_method,solvent,oil_yield_ml,dry_biomass_basis_pct,w/w_compound_data,compound_titer_data,ref_pubmed,notes,verified
A-HV-CIT-001-2025F,2025-10-15,A-CUL-CIT-001,Tahitian Gold,A-FLD-BLOCK-15,1,45,LOT-CIT-001-2025A,108,94,22,steam distillation,no solvent,385,dry,limonene 72.3%,linalool 5.8%,citral 3.9%,"PMID:10472364",First year field harvest. Exceeds target limonene specification.,yes
A-HV-CIT-002-2025F,2025-10-15,A-CUL-CIT-002,Meyer Lemon Select,A-FLD-BLOCK-16,1,45,LOT-CIT-002-2025A,102,89,21,steam distillation,no solvent,312,dry,limonene 67.5%,citral 8.2%,linalool 4.7%,"PMID:10472364",Good citral. Cold extraction maintained.,yes
A-HV-CIT-003-2025F,2025-11-10,A-CUL-CIT-003,Valencia Royale,A-FLD-BLOCK-15,2,45,LOT-CIT-003-2025A,115,100,24,steam distillation,no solvent,420,dry,limonene 74.8%,valencene 3.2%,nootkatone 0.9%,"PMID:10472364",Highest limonene batch. Late season harvest.,yes
A-HV-LAV-001-2025S,2025-07-20,A-CUL-LAV-001,Provence True,A-FLD-BLOCK-17,1,30,LOT-LAV-001-2025A,45,38,12,hexane extraction,hexane,48,dry,linalool 44.2%,alpha-terpineol 7.6%,1,8-cineole 5.1%,"PMID:12165183",Premium lavender absolute. Peak flowering.,yes
A-HV-LAV-002-2025S,2025-08-05,A-CUL-LAV-002,Grosso Select,A-FLD-BLOCK-17,2,30,LOT-LAV-002-2025A,52,44,14,steam distillation,no solvent,95,dry,1,8-cineole 34.8%,linalool 24.5%,camphor 6.2%,"PMID:10924511",Lavandin type. Higher yield but different profile.,yes
A-HV-LEM-001-2025F,2025-09-20,A-CUL-LEM-001,Lemongrass Pro,A-FLD-BLOCK-18,1,50,LOT-LEM-001-2025A,85,75,18,steam distillation,no solvent,225,dry,citral 44.7%,alpha-terpinene 7.9%,gamma-terpinene 4.8%,"PMID:15660358",High citral lemongrass. Mechanical harvest successful.,yes
A-HV-HOP-001-2025F,2025-09-10,A-CUL-HOP-001,Cascade Gold,A-FLD-BLOCK-19,1,35,LOT-HOP-001-2025A,28,25,8,CO2 supercritical,CO2,12,dry,beta-myrcene 49.3%,alpha-humulene 11.8%,limonene 7.6%,"PMID:11145135",First hop harvest. CO2 extraction preserves delicate esters.,yes
A-HV-ROS-001-2025S,2025-06-01,A-CUL-ROS-001,Rose Absolute Plus,A-FLD-BLOCK-20,1,40,LOT-ROS-001-2025A,65,55,18,hexane extraction,hexane,28,dry,geraniol 54.2%,farnesol 11.8%,beta-damascenone 2.9%,"PMID:12855420",First harvest from mature planting. Attar quality confirmed.,yes
A-HV-CLO-001-2025F,2025-10-01,A-CUL-CLO-001,Clove Bud Elite,A-FLD-BLOCK-21,1,30,LOT-CLO-001-2025A,42,38,12,steam distillation,no solvent,58,dry,eugenol 64.5%,caryophyllene oxide 7.8%,beta-caryophyllene 4.9%,"PMID:15834877",Mature tree harvest. High eugenol confirmed.,yes
A-HV-MINT-001-2025S,2025-08-20,A-CUL-MINT-001,Peppermint High Grade,A-FLD-BLOCK-22,1,45,LOT-MINT-001-2025A,72,62,16,steam distillation,no solvent,145,dry,menthol 47.6%,pulegone 11.8%,1,8-cineole 7.5%,"PMID:10709672",Peak menthol content at flowering. Single cut harvest.,yes
A-HV-TEA-001-2026W,2026-03-15,A-CUL-TEA-001,Tea Tree Select,A-FLD-BLOCK-23,1,50,LOT-TEA-001-2026A,95,82,22,steam distillation,no solvent,188,dry,terpinen-4-ol 34.8%,alpha-terpinene 19.6%,gamma-terpinene 14.7%,"PMID:10924511",Winter harvest. Oil meets Australian standard (terpinen-4-ol >30%).,yes
A-HV-CIT-004-2025F,2025-11-20,A-CUL-CIT-004,Grapefruit White,A-FLD-BLOCK-25,1,45,LOT-CIT-004-2025A,98,86,20,steam distillation,no solvent,295,dry,limonene 54.2%,nootkatone 14.8%,valencene 4.9%,"PMID:10924511",Elevated nootkatone confirmed. Cold-pressed also evaluated.,yes
A-HV-BAS-001-2025S,2025-06-20,A-CUL-BAS-001,Thai Basil Supreme,A-FLD-BLOCK-24,1,35,LOT-BAS-001-2025A,38,32,10,steam distillation,no solvent,22,dry,eugenol 34.2%,beta-caryophyllene 14.8%,limonene 7.6%,"PMID:12781682",First harvest before bolting. Maximum oil quality.,yes
A-HV-CIT-005-2025F,2025-10-25,A-CUL-CIT-005,Eureka Lemon Select,A-FLD-BLOCK-16,2,45,LOT-CIT-005-2025A,105,92,22,steam distillation,no solvent,318,dry,limonene 44.8%,citral 27.5%,alpha-terpineol 5.8%,"PMID:10472364",Consistent year-round production confirmed.,yes
A-HV-CIT-006-2026S,2026-04-10,A-CUL-CIT-001,Tahitian Gold,A-FLD-BLOCK-15,3,45,LOT-CIT-001-2026A,112,97,23,steam distillation,no solvent,405,dry,limonene 71.8%,linalool 6.1%,citral 4.1%,"PMID:10472364",Spring harvest 2026. Second season confirms consistency.,yes
