assigneduser,type,subtype,foldername,priority1,priority2,process,status,duetostart,duetoend,peoplename,namelast,case_task_id,housenumber,streetname,propx,propy,latitude,longitude,location
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-12-01T00:00:00.000,2026-12-31T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-12-01T00:00:00.000,2026-12-31T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-12-01T00:00:00.000,2026-12-31T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-12-01T00:00:00.000,2026-12-31T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-12-01T00:00:00.000,2026-12-31T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-11-01T00:00:00.000,2026-11-30T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-11-01T00:00:00.000,2026-11-30T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-11-01T00:00:00.000,2026-11-30T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-11-01T00:00:00.000,2026-11-30T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-11-01T00:00:00.000,2026-11-30T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-10-01T00:00:00.000,2026-10-31T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-10-01T00:00:00.000,2026-10-31T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-10-01T00:00:00.000,2026-10-31T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-10-01T00:00:00.000,2026-10-31T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
