field_trial_id,cultivar_id,field_block_id,season,region,trait_focus,yield_kg_per_plot,disease_score,water_stress_score,pass_fail,notes
A-TRL-FD-001,A-CUL-TOM-014,A-FLD-BLOCK-1,2025-Fall,Texas Zone 8,drought,38.2,1.3,1.6,pass,"Strong yield under deficit irrigation"
A-TRL-FD-002,A-CUL-TOM-014,A-FLD-BLOCK-3,2025-Fall,Texas Zone 8,drought+pmr,42.6,1.1,1.8,pass,"Strong field performance under reduced irrigation"
A-TRL-FD-003,A-CUL-TOM-015,A-FLD-BLOCK-2,2025-Fall,Arizona Zone 9b,early_flowering,31.4,2.1,2.4,pass,"Early season harvest achieved"
A-TRL-FD-004,A-CUL-TOM-017,A-FLD-BLOCK-4,2025-Summer,Florida Zone 9a,blight_resistance,44.8,1.9,1.4,pass,"Humid climate performance good"
A-TRL-FD-005,A-CUL-TOM-019,A-FLD-BLOCK-5,2025-Fall,Texas Zone 8,lycopene_content,36.2,1.5,2.0,pass,"Nutritional trait confirmed in field"
A-TRL-FD-006,A-CUL-TOM-020,A-FLD-BLOCK-6,2025-Summer,California Central Valley,nematode_resistance,28.6,2.3,1.9,pass,"Soil pest pressure present but manageable"
A-TRL-FD-007,A-CUL-TOM-021,A-FLD-BLOCK-1,2025-Spring,Texas Zone 8,fusarium_resistance,40.1,1.2,1.7,pass,"Wilt pressure low this season"
A-TRL-FD-008,A-CUL-TOM-022,A-FLD-BLOCK-7,2025-Fall,Texas Zone 8,drought+pmr,39.8,1.4,1.9,fail,"One block showed PMR susceptibility; retesting"
A-TRL-FD-009,A-CUL-TOM-023,A-FLD-BLOCK-3,2025-Fall,Texas Zone 8,drought_only,41.2,1.6,1.5,pass,"Dual marker drought lines performing well"
A-TRL-FD-010,A-CUL-TOM-025,A-FLD-BLOCK-8,2025-Summer,Florida Zone 9a,disease_resistance,35.7,2.2,2.1,pass,"Dual disease screen ongoing"
A-TRL-FD-011,A-CUL-TOM-026,A-FLD-BLOCK-2,2025-Fall,Arizona Zone 9b,verticillium_resistance,33.4,1.7,2.3,pass,"Cool-season pathogen pressure normal"
A-TRL-FD-012,A-CUL-TOM-027,A-FLD-BLOCK-9,2026-Spring,Texas Zone 8,drought_only,n/a,n/a,n/a,cancelled,"Greenhouse only; field trial pending for Q2"
A-TRL-FD-013,A-CUL-PEP-008,A-FLD-BLOCK-10,2025-Summer,California Central Valley,salt_tolerance,26.8,1.8,3.1,pass,"Saline irrigation test passed"
A-TRL-FD-014,A-CUL-TOM-016,A-FLD-BLOCK-11,2025-Summer,Arizona Zone 9b,heat_tolerance,22.1,2.4,3.2,fail,"Heat stress during fruit set; not ready for arid field"
A-TRL-FD-015,A-CUL-TOM-018,A-FLD-BLOCK-4,2025-Fall,Florida Zone 9a,fruit_worm_resistance,38.5,1.9,1.8,pass,"Organic protocol applicable"
A-TRL-FD-016,A-CUL-TOM-028,A-FLD-BLOCK-5,2025-Fall,Texas Zone 8,color_development,34.9,1.4,2.2,pass,"Visual quality trait confirmed"
A-TRL-FD-017,A-CUL-TOM-024,A-FLD-BLOCK-12,2026-Spring,Texas Zone 8,pmr_only,n/a,n/a,n/a,cancelled,"Field trial cancelled due to weather"
A-TRL-FD-018,A-CUL-PEP-009,A-FLD-BLOCK-13,2025-Summer,California Central Valley,heat_tolerance,24.2,2.1,2.8,pass,"Pepper heat tolerance confirmed"
A-TRL-FD-019,A-CUL-TOM-031,A-FLD-BLOCK-3,2025-Fall,Texas Zone 8,drought_only,43.1,2.8,1.6,pass,"Drought performance good but disease screen incomplete"
A-TRL-FD-020,A-CUL-TOM-029,A-FLD-BLOCK-14,2026-Spring,Texas Zone 8,general_trials,n/a,n/a,n/a,cancelled,"Not yet planted; seed increase in progress"
