qc_id,strain_id,run_id,check_type,result,status,date,notes
B-QC-REL-001,B-STR-YE-017,B-RUN-FERM-030,contamination_screen,negative,released,2026-02-12,"No contamination detected in bench run"
B-QC-REL-002,B-STR-YE-017,B-RUN-FERM-030,identity_check,match,released,2026-02-12,"Marker profile matches registry"
B-QC-REL-003,B-STR-YE-017,B-RUN-FERM-031,contamination_screen,negative,released,2026-02-20,"Clean at 5L scale"
B-QC-REL-004,B-STR-YE-017,B-RUN-FERM-031,identity_check,match,released,2026-02-20,"Confirmed at scale-up"
B-QC-REL-005,B-STR-YE-017,B-RUN-FERM-033,contamination_screen,negative,released,2026-04-06,"No contamination detected"
B-QC-REL-006,B-STR-YE-017,B-RUN-FERM-033,identity_check,match,released,2026-04-06,"Marker profile matches registry"
B-QC-REL-007,B-STR-YE-017,B-RUN-FERM-033,contamination_screen,negative,released,2026-04-06,"No contamination detected"
B-QC-REL-008,B-STR-YE-017,B-RUN-FERM-033,identity_check,match,released,2026-04-06,"Marker profile matches registry"
B-QC-REL-009,B-STR-YE-021,B-RUN-FERM-036,contamination_screen,negative,released,2026-04-04,"Bench run clean"
B-QC-REL-010,B-STR-YE-021,B-RUN-FERM-036,identity_check,match,released,2026-04-04,"Marker match confirmed"
B-QC-REL-011,B-STR-YE-021,B-RUN-FERM-041,scaleup_review,pending,hold,2026-04-07,"Needs pilot run before recommendation"
B-QC-REL-012,B-STR-YE-021,B-RUN-FERM-041,contamination_screen,negative,released,2026-04-07,"Clean bench run"
B-QC-REL-013,B-STR-LA-009,B-RUN-FERM-034,contamination_screen,negative,released,2026-03-30,"Lactobacillus culture clean"
B-QC-REL-014,B-STR-LA-009,B-RUN-FERM-034,identity_check,match,released,2026-03-30,"16S sequencing match"
B-QC-REL-015,B-STR-LA-009,B-RUN-FERM-042,contamination_screen,negative,released,2026-04-20,"Pilot run clean"
B-QC-REL-016,B-STR-LA-009,B-RUN-FERM-042,identity_check,match,released,2026-04-20,"Scale-up confirmed"
B-QC-REL-017,B-STR-YE-018,B-RUN-FERM-032,contamination_screen,negative,released,2026-03-07,"Bench run clean"
B-QC-REL-018,B-STR-YE-018,B-RUN-FERM-032,identity_check,match,released,2026-03-07,"ATF1 marker confirmed"
B-QC-REL-019,B-STR-YE-019,B-RUN-FERM-035,contamination_screen,negative,released,2026-04-03,"Floral screening clean"
B-QC-REL-020,B-STR-YE-019,B-RUN-FERM-035,identity_check,match,released,2026-04-03,"GER1 marker confirmed"
B-QC-REL-021,B-STR-YE-020,B-RUN-FERM-037,contamination_screen,negative,released,2026-04-10,"Citrus screen clean"
B-QC-REL-022,B-STR-YE-020,B-RUN-FERM-037,identity_check,match,released,2026-04-10,"LIM1 marker confirmed"
B-QC-REL-023,B-STR-LA-010,B-RUN-FERM-038,contamination_screen,negative,released,2026-04-12,"Organic acid run clean"
B-QC-REL-024,B-STR-LA-010,B-RUN-FERM-038,identity_check,match,released,2026-04-12,"16S confirmed"
B-QC-REL-025,B-STR-YE-022,B-RUN-FERM-039,contamination_screen,negative,released,2026-04-14,"Alternate banana strain clean"
B-QC-REL-026,B-STR-YE-022,B-RUN-FERM-039,identity_check,match,released,2026-04-14,"ATF1 marker confirmed"
B-QC-REL-027,B-STR-YE-023,B-RUN-FERM-040,contamination_screen,negative,released,2026-04-22,"Secondary floral clean"
B-QC-REL-028,B-STR-YE-023,B-RUN-FERM-040,identity_check,match,released,2026-04-22,"GER1 marker confirmed"
B-QC-REL-029,B-STR-YE-024,B-RUN-FERM-043,contamination_screen,negative,released,2026-04-24,"Creamy ester screen clean"
B-QC-REL-030,B-STR-YE-024,B-RUN-FERM-043,identity_check,match,released,2026-04-24,"ALDC and LDH2 confirmed"
B-QC-REL-031,B-STR-YE-017,B-RUN-FERM-044,contamination_screen,pending,released,2026-04-26,"Current run; harvest pending"
B-QC-REL-032,B-STR-LA-011,B-RUN-FERM-045,contamination_screen,negative,released,2026-04-27,"Citrus lactobacillus clean"
B-QC-REL-033,B-STR-LA-011,B-RUN-FERM-045,identity_check,match,released,2026-04-27,"CIT1 confirmed"
