case_task_id,case_id,address,task_type,assignee,status,due_date
2026-021852 UR,2026-058299 CC,1417 BERKSHIRE DR,Field Inspection,Charles Edwards,Open,2026-06-15
2026-019003 UR,2026-051120 CC,3402 GOVALLE AVE,Zoning Review,Maria Lopez,Open,2026-06-08
2026-017740 UR,2026-047733 CC,908 W 29TH ST,Re-Inspection,Derek Cole,Closed,2026-04-30
2026-022660 UR,2026-060044 CC,7008 MANCHACA RD,Field Inspection,Charles Edwards,Open,2026-06-20
2026-015118 UR,2026-039981 CC,2210 RIO GRANDE ST,Case Closure,Derek Cole,Closed,2026-04-01
2026-022104 UR,2026-058870 CC,5905 BULL CREEK RD,Drainage Survey,Priya Nair,Open,2026-06-18
2026-020551 UR,2026-055412 CC,1601 E CESAR CHAVEZ ST,Cleanup Verification,Maria Lopez,Closed,2026-05-10
2026-023319 UR,2026-061205 CC,2300 E 6TH ST,STR Audit,Priya Nair,Open,2026-06-25
2026-016442 UR,2026-044190 CC,4400 AVENUE G,Structural Assessment,Derek Cole,Closed,2026-04-15
2026-021990 UR,2026-059333 CC,6403 ARNOLD DR,Barrier Compliance Check,Charles Edwards,Open,2026-06-16
2026-019887 UR,2026-052077 CC,2810 SALADO ST,Sign Removal Verification,Maria Lopez,Closed,2026-05-05
2026-023007 UR,2026-060788 CC,1417 BERKSHIRE DR,Stop-Work Follow-Up,Charles Edwards,Open,2026-06-12
