cultivar_id,cultivar_name,crop,species,parent_line_ids,produces_compound_ids,target_compound_pct,breeding_stage,field_status,field_block_id,planting_date,expected_harvest_date,notes
A-CUL-CIT-001,Tahitian Gold,citrus,Citrus sinensis x paradisi,A-CUL-CIT-BASE-01,"A-CUL-CIT-001 produces A-CMP-001 at 72%, A-CMP-002 at 6%, A-CMP-003 at 4%",limonene 72,linalool 6,citral 4,active,field_ready,A-FLD-BLOCK-15,2026-03-15,2026-10-15,High limonene Valencia hybrid for citrus oil production. TFPA compliant.
A-CUL-CIT-002,Meyer Lemon Select,citrus,Citrus meyeri,A-CUL-CIT-BASE-02,"A-CUL-CIT-002 produces A-CMP-001 at 68%, A-CMP-003 at 8%, A-CMP-002 at 5%",limonene 68,citral 8,linalool 5,active,field_ready,A-FLD-BLOCK-16,2026-02-20,2026-10-30,Meyer lemon selection with elevated citral. Cold hardy.
A-CUL-CIT-003,Valencia Royale,citrus,Citrus sinensis,A-CUL-CIT-BASE-03,"A-CUL-CIT-003 produces A-CMP-001 at 75%, A-CMP-026 at 3%, A-CMP-025 at 1%",limonene 75,valencene 3,nootkatone 1,active,field_ready,A-FLD-BLOCK-15,2026-03-01,2026-11-10,Classic Valencia with very high limonene. Primary citrus oil cultivar.
A-CUL-LAV-001,Provence True,lavender,Lavandula angustifolia,A-CUL-LAV-BASE-01,"A-CUL-LAV-001 produces A-CMP-002 at 45%, A-CMP-022 at 8%, A-CMP-008 at 5%",linalool 45,alpha-terpineol 8,1,8-cineole 5,active,greenhouse_validated,A-FLD-BLOCK-17,2026-04-01,2026-07-15,True lavender selection. Classic floral profile. Organic certified 2025.
A-CUL-LAV-002,Grosso Select,lavender,Lavandula x intermedia,A-CUL-LAV-BASE-02,"A-CUL-LAV-002 produces A-CMP-008 at 35%, A-CMP-002 at 25%, A-CMP-013 at 6%",1,8-cineole 35,linalool 25,camphor 6,active,field_ready,A-FLD-BLOCK-17,2026-04-01,2026-08-01,Lavandin hybrid. Higher camphor; not for premium fragrance but excellent for aromatherapy.
A-CUL-LEM-001,Lemongrass Pro,lemongrass,Cymbopogon winterianus,A-CUL-LEM-BASE-01,"A-CUL-LEM-001 produces A-CMP-003 at 45%, A-CMP-018 at 8%, A-CMP-019 at 5%",citral 45,alpha-terpinene 8,gamma-terpinene 5,active,field_ready,A-FLD-BLOCK-18,2026-05-01,2026-09-15,High citral lemongrass selection. East Indian type. Mechanical harvest ready.
A-CUL-HOP-001,Cascade Gold,hops,Humulus lupulus,A-CUL-HOP-BASE-01,"A-CUL-HOP-001 produces A-CMP-005 at 50%, A-CMP-011 at 12%, A-CMP-001 at 8%",beta-myrcene 50,alpha-humulene 12,limonene 8,active,greenhouse_validated,A-FLD-BLOCK-19,2026-04-15,2026-09-01,Cascade-type with elevated myrcene. Craft brewing preferred.
A-CUL-HOP-002,Noble Select,hops,Humulus lupulus,A-CUL-HOP-BASE-02,"A-CUL-HOP-002 produces A-CMP-001 at 40%, A-CMP-008 at 15%, A-CMP-004 at 10%",limonene 40,1,8-cineole 15,alpha-pinene 10,active,greenhouse_validated,A-FLD-BLOCK-19,2026-04-15,2026-09-05,European noble character. Low cohumulone. Essential oil profile.
A-CUL-ROS-001,Rose Absolute Plus,rose,Rosa gallica,R-CUL-ROS-BASE-01,"A-CUL-ROS-001 produces A-CMP-006 at 55%, A-CMP-027 at 12%, A-CMP-023 at 3%",geraniol 55,farnesol 12,beta-damascenone 3,active,greenhouse_validated,A-FLD-BLOCK-20,2026-03-01,2027-05-01,Damask rose selection for attar production. High geraniol. 3-year cultivation cycle.
A-CUL-CLO-001,Clove Bud Elite,Syzygium aromaticum,clove,A-CUL-CLO-BASE-01,"A-CUL-CLO-001 produces A-CMP-007 at 65%, A-CMP-030 at 8%, A-CMP-009 at 5%",eugenol 65,caryophyllene oxide 8,beta-caryophyllene 5,active,greenhouse_validated,A-FLD-BLOCK-21,2026-02-01,2027-10-01,Clove selection for eugenol-rich essential oil. Mature tree cultivation.
A-CUL-MINT-001,Peppermint High Grade,Mentha piperita,A-CUL-MINT-BASE-01,"A-CUL-MINT-001 produces A-CMP-017 at 48%, A-CMP-029 at 12%, A-CMP-008 at 8%",menthol 48,pulegone 12,1,8-cineole 8,active,field_ready,A-FLD-BLOCK-22,2026-04-01,2026-08-15,Peppermint selection with high menthol content. Mitchell cultivar derivative. TFPA compliant.
A-CUL-TEA-001,Tea Tree Select,Melaleuca alternifolia,A-CUL-TEA-BASE-01,"A-CUL-TEA-001 produces A-CMP-020 at 35%, A-CMP-018 at 20%, A-CMP-019 at 15%",terpinen-4-ol 35,alpha-terpinene 20,gamma-terpinene 15,active,greenhouse_validated,A-FLD-BLOCK-23,2026-05-01,2027-03-01,Tea tree oil cultivar. High terpinen-4-ol for Australian standard compliance.
A-CUL-BAS-001,Thai Basil Supreme,Ocimum basilicum,A-CUL-BAS-BASE-01,"A-CUL-BAS-001 produces A-CMP-007 at 35%, A-CMP-009 at 15%, A-CMP-001 at 8%",eugenol 35,beta-caryophyllene 15,limonene 8,active,greenhouse_validated,A-FLD-BLOCK-24,2026-04-15,2026-06-15,Thai basil type with elevated eugenol. Annual cultivation. Multiple harvests.
A-CUL-CIT-004,Grapefruit White,citrus,Citrus paradisi,A-CUL-CIT-BASE-04,"A-CUL-CIT-004 produces A-CMP-025 at 15%, A-CMP-001 at 55%, A-CMP-026 at 5%",nootkatone 15,limonene 55,valencene 5,active,greenhouse_validated,A-FLD-BLOCK-25,2026-02-15,2026-11-15,White grapefruit selection with elevated nootkatone. For premium juice and oil co-products.
A-CUL-CIT-005,Eureka Lemon Select,citrus,Citrus limon,A-CUL-CIT-BASE-05,"A-CUL-CIT-005 produces A-CMP-003 at 28%, A-CMP-001 at 45%, A-CMP-022 at 6%",citral 28,limonene 45,alpha-terpineol 6,active,field_ready,A-FLD-BLOCK-16,2026-03-20,2026-10-20,Eureka lemon type. Classic lemon oil profile. Consistent year-round production.
