run_id,date,strain_id,media_id,temperature_c,ph_start,ph_end,duration_hr,vessel_scale_l,run_status,notes
B-RUN-FERM-030,2026-02-10,B-STR-YE-017,B-MEDIA-EST-04,14,5.2,4.5,96,2,completed,"Bench screening for low temp ester profile"
B-RUN-FERM-031,2026-02-18,B-STR-YE-017,B-MEDIA-EST-04,14,5.2,4.4,96,5,completed,"Scale-up to 5L for initial profile check"
B-RUN-FERM-032,2026-03-05,B-STR-YE-018,B-MEDIA-BAN-01,18,5.0,4.3,72,2,completed,"Banana ester screen at bench scale"
B-RUN-FERM-033,2026-03-22,B-STR-YE-017,B-MEDIA-EST-04,14,5.2,4.4,96,20,completed,"Low-temp pilot run for ester profile"
B-RUN-FERM-034,2026-03-28,B-STR-LA-009,B-MEDIA-LACT-02,30,5.8,4.8,48,10,completed,"Lactic acid production run"
B-RUN-FERM-035,2026-04-01,B-STR-YE-019,B-MEDIA-FLOR-01,18,5.1,4.6,96,2,completed,"Floral ester screening"
B-RUN-FERM-036,2026-04-02,B-STR-YE-021,B-MEDIA-EST-04,14,5.2,4.5,96,2,completed,"Bench run only; scale-up pending"
B-RUN-FERM-037,2026-04-08,B-STR-YE-020,B-MEDIA-CIT-01,16,5.0,4.4,72,2,completed,"Citrus terpene screening"
B-RUN-FERM-038,2026-04-10,B-STR-LA-010,B-MEDIA-ORGANIC-01,30,5.6,4.5,72,10,completed,"Organic acid production trial"
B-RUN-FERM-039,2026-04-12,B-STR-YE-022,B-MEDIA-BAN-01,18,5.0,4.3,72,2,completed,"Alternate banana ester strain"
B-RUN-FERM-040,2026-04-15,B-STR-YE-023,B-MEDIA-FLOR-01,18,5.1,4.5,96,2,completed,"Secondary floral strain screen"
B-RUN-FERM-041,2026-04-02,B-STR-YE-021,B-MEDIA-EST-04,14,5.2,4.5,96,2,completed,"Duplicate bench run for confirmation"
B-RUN-FERM-042,2026-04-18,B-STR-LA-009,B-MEDIA-LACT-02,30,5.8,4.6,48,20,completed,"Scale-up run; lactic acid confirmed"
B-RUN-FERM-043,2026-04-20,B-STR-YE-024,B-MEDIA-LACT-03,22,5.1,4.4,96,2,completed,"Creamy ester screen; diacetyl low"
B-RUN-FERM-044,2026-04-22,B-STR-YE-017,B-MEDIA-EST-04,14,5.2,4.3,96,50,ongoing,"Current pilot run; harvest expected 2026-04-26"
B-RUN-FERM-045,2026-04-25,B-STR-LA-011,B-MEDIA-ORGANIC-01,30,5.6,4.5,72,10,completed,"Citrus organic acid run"
