cultivar_id,name,crop,parent_line_ids,target_trait_ids,marker_ids,status,breeding_stage,notes
A-CUL-TOM-014,Solara-14,tomato,"A-CUL-TOM-BASE-02","A-TRT-DRT;A-TRT-PMR","A-GEN-DRT2;A-GEN-PMR3",active,field_ready,"Best candidate for drought + mildew package"
A-CUL-TOM-022,DryShield-22,tomato,"A-CUL-TOM-BASE-08","A-TRT-DRT;A-TRT-PMR","A-GEN-DRT2;A-GEN-PMR3",active,greenhouse_validated,"Needs field validation before broad recommendation"
A-CUL-TOM-031,Arida-31,tomato,"A-CUL-TOM-BASE-05","A-TRT-DRT","A-GEN-DRT2",active,field_ready,"Drought only; lacks PMR marker"
A-CUL-TOM-015,EarlyGlade-15,tomato,"A-CUL-TOM-BASE-03","A-TRT-EAR-FL","A-GEN-EAR-FL1",active,field_ready,"Early flowering for summer harvest window"
A-CUL-TOM-016,HeatKing-16,tomato,"A-CUL-TOM-BASE-07","A-TRT-HEAT","A-GEN-HEAT1",active,greenhouse_validated,"Heat tolerant but late season only"
A-CUL-TOM-017,ShieldLeaf-17,tomato,"A-CUL-TOM-BASE-04","A-TRT-BLIGHT","A-GEN-BLIGHT1",active,field_ready,"Blight resistance for humid climates"
A-CUL-TOM-018,WormGuard-18,tomato,"A-CUL-TOM-BASE-09","A-TRT-FW","A-GEN-FW1",active,greenhouse_validated,"Fruit worm resistance; organic suitable"
A-CUL-TOM-019,LycoMax-19,tomato,"A-CUL-TOM-BASE-06","A-TRT-LYC","A-GEN-LYC1;A-GEN-LYC2",active,field_ready,"High lycopene content for nutritional market"
A-CUL-TOM-020,NemaFree-20,tomato,"A-CUL-TOM-BASE-10","A-TRT-NEM","A-GEN-NEM1",active,field_ready,"Root-knot nematode resistance"
A-CUL-TOM-021,FusariumBloc-21,tomato,"A-CUL-TOM-BASE-11","A-TRT-FUS","A-GEN-FUS1",active,greenhouse_validated,"Fusarium wilt resistance confirmed"
A-CUL-TOM-023,DoubleDrought-23,tomato,"A-CUL-TOM-BASE-12","A-TRT-DRT","A-GEN-DRT2;A-GEN-DRT3",active,field_ready,"Dual drought markers but no PMR"
A-CUL-TOM-024,MilResist-24,tomato,"A-CUL-TOM-BASE-13","A-TRT-PMR","A-GEN-PMR3;A-GEN-PMR4",active,greenhouse_validated,"PMR markers present, field pending"
A-CUL-PEP-008,SaltKing-08,pepper,"A-CUL-PEP-BASE-01","A-TRT-SAL","A-GEN-SAL1",active,field_ready,"Salt tolerance for saline irrigation"
A-CUL-TOM-025,DoubleShield-25,tomato,"A-CUL-TOM-BASE-14","A-TRT-BLIGHT;A-TRT-FUS","A-GEN-BLIGHT1;A-GEN-FUS1",active,greenhouse_validated,"Dual disease resistance; field trials pending"
A-CUL-TOM-026,VerseFree-26,tomato,"A-CUL-TOM-BASE-15","A-TRT-VERT","A-GEN-VERT1",active,field_ready,"Verticillium resistance confirmed"
A-CUL-TOM-027,TripleDrought-27,tomato,"A-CUL-TOM-BASE-16","A-TRT-DRT","A-GEN-DRT2;A-GEN-DRT3",active,greenhouse_validated,"Triple drought marker; very early stage"
A-CUL-TOM-028,ColorMax-28,tomato,"A-CUL-TOM-BASE-17","A-TRT-LYC","A-GEN-LYC1",active,field_ready,"Color development marker; lycopene secondary"
A-CUL-PEP-009,HeatPepper-09,pepper,"A-CUL-PEP-BASE-02","A-TRT-HEAT","A-GEN-HEAT2",active,greenhouse_validated,"Heat tolerant pepper; early testing"
