strain_id,name,organism,parent_strain_ids,target_profile_ids,pathway_gene_ids,status,development_stage,notes,gcms_assay_ids, fermentation_run_ids,qc_holds,release_status,viability_pct_at_cryo,passage_number_current
B-STR-YE-017,Yeast EsterMax 17,Saccharomyces cerevisiae,B-STR-YE-BASE-03,B-PROF-EST-01,B-GEN-AAT1;B-GEN-EHT1,active,pilot_ready,Best candidate for fruit-forward ester profile at low temp,B-ASSAY-GCMS-010 B-ASSAY-GCMS-011 B-ASSAY-GCMS-012 B-ASSAY-GCMS-013 B-ASSAY-GCMS-014 B-ASSAY-GCMS-015 B-ASSAY-GCMS-018 B-ASSAY-GCMS-019 B-ASSAY-GCMS-020 B-ASSAY-GCMS-021,B-RUN-FERM-030 B-RUN-FERM-031 B-RUN-FERM-033 B-RUN-FERM-044 B-RUN-FERM-046 B-RUN-FERM-048 B-RUN-FERM-057 B-RUN-FERM-059 B-RUN-FERM-063,none,released,94,12
B-STR-YE-021,Yeast Citriflow 21,Saccharomyces cerevisiae,B-STR-YE-BASE-05,B-PROF-EST-01,B-GEN-AAT1,active,bench_validated,Strong ester output but scale-up incomplete,B-ASSAY-GCMS-026 B-ASSAY-GCMS-027 B-ASSAY-GCMS-028 B-ASSAY-GCMS-037 B-ASSAY-GCMS-038,B-RUN-FERM-036 B-RUN-FERM-041 B-RUN-FERM-061,none,pending_scaleup,91,5
B-STR-LA-009,LactoCream 09,Lactobacillus plantarum,B-STR-LA-BASE-02,B-PROF-LACTIC-02,B-GEN-LDH2,active,pilot_ready,Good lactic profile,not ester-forward,B-ASSAY-GCMS-022 B-ASSAY-GCMS-023 B-ASSAY-GCMS-031 B-ASSAY-GCMS-039 B-ASSAY-GCMS-040,B-RUN-FERM-034 B-RUN-FERM-042 B-RUN-FERM-050,none,released,88,15
B-STR-YE-018,Yeast BananaFlow 18,Saccharomyces cerevisiae,B-STR-YE-BASE-07,B-PROF-BANANA-04,B-GEN-ATF1,active,bench_validated,Produces isoamyl acetate but overall profile incomplete,B-ASSAY-GCMS-016 B-ASSAY-GCMS-017,B-RUN-FERM-032 B-RUN-FERM-047,NOTE: FERM-047 inconsistent with run 032,pending_review,92,7
B-STR-YE-019,Yeast RoseMax 19,Saccharomyces cerevisiae,B-STR-YE-BASE-09,B-PROF-FLORAL-05,B-GEN-GER1,active,bench_validated,Geraniol producer but pilot run needed,B-ASSAY-GCMS-024 B-ASSAY-GCMS-025 B-ASSAY-GCMS-035 B-ASSAY-GCMS-036,B-RUN-FERM-035 B-RUN-FERM-052,awaiting_pilot_batch,conditional_release,87,8
B-STR-YE-020,Yeast CitrusDrop 20,Saccharomyces cerevisiae,B-STR-YE-BASE-11,B-PROF-CITRUS-06,B-GEN-LIM1,active,greenhouse_validated,Limonene pathway confirmed but scale-up pending,B-ASSAY-GCMS-029 B-ASSAY-GCMS-030,B-RUN-FERM-037 B-RUN-FERM-053,name changed to CitriFlow per registry - verify,B-STR-YE-021,pending_pilot,93,6
B-STR-LA-010,LactoAcid 10,Lactobacillus plantarum,B-STR-LA-BASE-04,B-PROF-ORGANIC-03,B-GEN-CIT1,active,pilot_ready,High organic acid producer for food ingredients,B-ASSAY-GCMS-031 B-ASSAY-GCMS-032,B-RUN-FERM-038 B-RUN-FERM-054,none,released,86,16
B-STR-YE-022,Yeast IsoAmyl 22,Saccharomyces cerevisiae,B-STR-YE-BASE-13,B-PROF-BANANA-04,B-GEN-ATF1,active,greenhouse_validated,Alternate ATF1 strain; needs pilot confirmation,B-ASSAY-GCMS-033 B-ASSAY-GCMS-034,B-RUN-FERM-039 B-RUN-FERM-056,none,released,90,7
B-STR-YE-023,Yeast FloralBlend 23,Saccharomyces cerevisiae,B-STR-YE-BASE-15,B-PROF-FLORAL-05,B-GEN-GER1,active,greenhouse_validated,Secondary floral strain; limited scale data,B-ASSAY-GCMS-035 B-ASSAY-GCMS-036,B-RUN-FERM-040,no_scale_data,conditional_release,85,4
B-STR-YE-024,Yeast CreamEst 24,Saccharomyces cerevisiae,B-STR-YE-BASE-17,B-PROF-LACTIC-02,B-GEN-ALDC;B-GEN-LDH2,active,bench_validated,Diacetyl reduction pathway present; low off-notes,B-ASSAY-GCMS-041 B-ASSAY-GCMS-042 B-ASSAY-GCMS-043,B-RUN-FERM-043,low_diacetyl_confirmed,released,88,3
B-STR-LA-011,LactoCitrus 11,Lactobacillus plantarum,B-STR-LA-BASE-06,B-PROF-CITRUS-06,B-GEN-CIT1,active,greenhouse_validated,Organic acid producer with citrus potential,B-ASSAY-GCMS-044 B-ASSAY-GCMS-045,B-RUN-FERM-045 B-RUN-FERM-058,citrus_organic_acid_profile,conditional_release,89,5
B-STR-YE-025,Yeast VanillaEst 25,Saccharomyces cerevisiae,B-STR-YE-BASE-19,B-PROF-EST-01,B-GEN-EVH1,active,greenhouse_validated,Ethyl vanillin producer; early stage vanilla notes,B-ASSAY-GCMS-NONE,B-RUN-FERM-051,CONTAMINATION_FAILURE,on_hold,84,2
B-STR-YE-026,Yeast PearDrop 26,Saccharomyces cerevisiae,B-STR-YE-BASE-21,B-PROF-BANANA-04,B-GEN-ATF1,active,greenhouse_validated,Pear ester producer; partial tropical profile,NA,B-RUN-FERM-NONE,not_tested,pending_testing,87,3
B-STR-YE-027,Yeast Farnesol 27,Saccharomyces cerevisiae,B-STR-YE-BASE-23,B-PROF-FLORAL-05,B-GEN-FAR1,active,greenhouse_validated,Sesquiterpene producer; specialty applications,NA,B-RUN-FERM-NONE,not_tested,pending_testing,85,2
B-STR-LA-012,LactoFloral 12,Lactobacillus plantarum,B-STR-LA-BASE-08,B-PROF-FLORAL-05,B-GEN-CIT1,active,greenhouse_validated,Secondary lactobacillus for floral profile,NA,B-RUN-FERM-NONE,not_tested,pending_testing,83,4
B-STR-YE-028,Yeast AcidMax 28,Saccharomyces cerevisiae,B-STR-YE-BASE-25,B-PROF-ORGANIC-03,B-GEN-ALDH,active,pilot_ready,High acetate production; not ester-forward,NA,B-RUN-FERM-NONE,none,released,91,4
B-STR-YE-029,Yeast Balanced 29,Saccharomyces cerevisiae,B-STR-YE-BASE-27,B-PROF-LACTIC-02,B-GEN-AAT1;B-GEN-LDH2,active,bench_validated,Mixed ester-lactic profile; needs optimization,NA,B-RUN-FERM-NONE,needs_optimization,pending_optimization,88,3
B-STR-YE-030,Yeast HighHeat 30,Saccharomyces cerevisiae,B-STR-YE-BASE-29,other,B-GEN-FAS1,active,greenhouse_validated,Heat tolerant strain; not profiled for flavor,NA,B-RUN-FERM-NONE,no_flavor_profiling,restricted_use,90,2
B-STR-YE-031,Yeast CherryEst 31,Saccharomyces cerevisiae,B-STR-YE-BASE-31,B-PROF-BANANA-04,B-GEN-ATF1;B-GEN-EHT1,development,seed,New cherry ester variant - in early screening,NA,B-RUN-FERM-NONE,not_tested,pre-release,NA,1
B-STR-LA-013,LactoBerry 13,Lactobacillus plantarum,B-STR-LA-BASE-10,B-PROF-FLORAL-05,B-GEN-GER1,development,seed,Berry-floral profile candidate,NA,B-RUN-FERM-NONE,not_tested,pre-release,NA,1
B-STR-YE-032,Yeast CitrusMax 32,Saccharomyces cerevisiae,B-STR-YE-BASE-33,B-PROF-CITRUS-06,B-GEN-LIM1;B-GEN-LIM2,development,seed,High limonene producer - early validation,NA,B-RUN-FERM-NONE,not_tested,pre-release,NA,1
B-STR-YE-033,Yeast WoodyEst 33,Saccharomyces cerevisiae,B-STR-YE-BASE-35,B-PROF-CITRUS-06,B-GEN-CARY1,development,seed,Sesquiterpene-heavy profile for woody notes,NA,B-RUN-FERM-NONE,not_tested,pre-release,NA,1
